trophicDiet,trophicOrig,Picture,rachelSpp,rachelCommon,trophicLevel,trophicLevel.se,spp,common,phylum,taxLvl,species,genus,family,order,class,superclass,subphylum,kingdom,raw.spp,isSpecies,correctSpp
,,y,Acanthephyra curtirostris,peaked shrimp,3.76,0.59,Acanthephyra curtirostris,black corals,Arthropoda,Species,Acanthephyra curtirostris,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Acanthephyra curtirostris,TRUE,TRUE
,,,Acanthephyra eximia,shrimp,NA,NA,Acanthephyra eximia,NA,Arthropoda,Species,Acanthephyra eximia,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACANTHEPHYRA EXEMIA,TRUE,TRUE
,,,Acanthephyra eximia,shrimp,NA,NA,Acanthephyra eximia,NA,Arthropoda,Species,Acanthephyra eximia,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACANTHEPHYRA EXIMIA,TRUE,TRUE
,,,Acanthephyra pelagica,shrimp ,NA,NA,Acanthephyra pelagica,scarlet shrimp,Arthropoda,Species,Acanthephyra pelagica,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACANTHEPHYRA PELAGICA,TRUE,TRUE
,,,Acanthephyra purpurea,shrimp,NA,NA,Acanthephyra purpurea,NA,Arthropoda,Species,Acanthephyra purpurea,Acanthephyra,Oplophoridae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACANTHEPHYRA PURPUREA,TRUE,TRUE
,,y,Acanthocarpus alexandri ,gladiator box crab ,NA,NA,Acanthocarpus alexandri,gladiator box crab,Arthropoda,Species,Acanthocarpus alexandri,Acanthocarpus,Calappidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACANTHOCARPUS ALEXANDRI,TRUE,TRUE
,,y,Acanthocarpus alexandri,gladiator box crab ,NA,NA,Acanthocarpus alexandri,gladiator box crab,Arthropoda,Species,Acanthocarpus alexandri,Acanthocarpus,Calappidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACATHOCARPUS ALEXADRI,TRUE,TRUE
,,,Acanthogorgia armata,NA ,NA,NA,Acanthogorgia armata,NA,Cnidaria,Species,Acanthogorgia armata,Acanthogorgia,Acanthogorgiidae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,ACANTHOGORGIA ARMATA,TRUE,TRUE
,,,Acanthogorgiidae,NA,NA,NA,Acanthogorgiidae,soft corals,Cnidaria,Family,NA,NA,Acanthogorgiidae,Alcyonacea,Anthozoa,NA,NA,Animalia,Acanthogorgiidae,FALSE,TRUE
,,sort of ,Acantholiparis opercularis,spiny snailfish ,NA,NA,Acantholiparis opercularis,spiny snailfish,Chordata,Species,Acantholiparis opercularis,Acantholiparis,Liparidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Acantholiparis opercularis,TRUE,TRUE
,,,Acantholithodes,NA ,NA,NA,Acantholithodes,spiny lithode crab,Arthropoda,Genus,NA,Acantholithodes,Lithodidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Acantholithodes sp.,FALSE,TRUE
,,y,Acantholithodes hispidus,spiny lithode crab ,NA,NA,Acantholithodes hispidus,spiny lithode crab,Arthropoda,Species,Acantholithodes hispidus,Acantholithodes,Lithodidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Acantholithodes hispidus,TRUE,TRUE
,,y,Acantholumpenus mackayi,pighead prickleback ,3.13,0.17,Acantholumpenus mackayi,pighead prickleback,Chordata,Species,Acantholumpenus mackayi,Acantholumpenus,Stichaeidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Acantholumpenus mackayi,TRUE,TRUE
,,,Acanthonotozomatidae,NA,NA,NA,Acanthonotozomatidae,amphipods,Arthropoda,Family,NA,NA,Acanthonotozomatidae,Amphipoda,Malacostraca,NA,NA,Animalia,ACANTHONOTOZOMATIDAE,FALSE,TRUE
,,,Acanthostracion ,NA,NA,NA,Acanthostracion,NA,Chordata,Genus,NA,Acanthostracion,Ostraciidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACATHOSTRACIO,FALSE,TRUE
,,y,Acanthostracion quadricornis,scrawled cowfish,2.68,0.18,Acanthostracion quadricornis,scrawled cowfish,Chordata,Species,Acanthostracion quadricornis,Acanthostracion,Ostraciidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACANTHOSTRACION QUADRICORNIS,TRUE,TRUE
,,y,Acanthostracion quadricornis,scrawled cowfish,2.68,0.18,Acanthostracion quadricornis,scrawled cowfish,Chordata,Species,Acanthostracion quadricornis,Acanthostracion,Ostraciidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACATHOSTRACIO QUADRICORIS,TRUE,TRUE
,,,Acanthocarpus,NA,NA,NA,Acathocarpus,NA,Arthropoda,Genus,NA,Acanthocarpus,Calappidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ACATHOCARPUS,FALSE,FALSE
,,,Acesta sphoni ,NA,NA,NA,Acesta sphoni,NA,Mollusca,Species,Acesta sphoni,Acesta,Limidae,Limoida,Bivalvia,NA,NA,Animalia,Acesta sphoni,TRUE,TRUE
,,,Acharax johnsoni ,NA,NA,NA,Acharax johnsoni,NA,Mollusca,Species,Acharax johnsoni,Acharax,Solemyidae,Solemyoida,Bivalvia,NA,NA,Animalia,Acharax johnsoni,TRUE,TRUE
,,,Achelous spinicarpus,longspine swimming crab ,NA,NA,Achelous spinicarpus,longspine swimming crab,Arthropoda,Species,Achelous spinicarpus,Achelous,Portunidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,PORTUUS SPIICARPUS,TRUE,TRUE
,,,Achelous spinimanus,blotched swimming crab ,NA,NA,Achelous spinimanus,blotched swimming crab,Arthropoda,Species,Achelous spinimanus,Achelous,Portunidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,PORTUNUS SPINIMANUS,TRUE,TRUE
,,y,Achirus lineatus,lined sole,3.52,0.4,Achirus lineatus,lined sole,Chordata,Species,Achirus lineatus,Achirus,Achiridae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACHIRUS LIEATUS,TRUE,TRUE
,,y,Achirus lineatus,lined sole ,3.52,0.4,Achirus lineatus,lined sole,Chordata,Species,Achirus lineatus,Achirus,Achiridae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACHIRUS LINEATUS,TRUE,TRUE
,,y,Anchoa hepsetus ,Broad striped anchovy ,3.22,0.25,Achoa hepsetus,broad-striped anchovy,Chordata,Species,Anchoa hepsetus,Anchoa,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACHOA HEPSETUS,TRUE,TRUE
,,y,Acipenser medirostris,green sturgeon ,3.25,0.48,Acipenser medirostris,green sturgeon,Chordata,Species,Acipenser medirostris,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Acipenser medirostris,TRUE,TRUE
,,y,Acipenser oxyrinchus,Atlantic sturgeon,3.38,0.5,Acipenser oxyrhynchus,Atlantic sturgeon,Chordata,Species,Acipenser oxyrinchus,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACIPENSER OXYRHYNCHUS,TRUE,TRUE
,,y,Acipenser oxyrinchus ,Atlantic sturgeon ,3.38,0.5,Acipenser oxyrinchus,beaded mud crab,Chordata,Species,Acipenser oxyrinchus,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACIPENSER OXYRINCHUS,TRUE,TRUE
,,,Acmaea,NA,NA,NA,Acmaea,Limpet,Mollusca,Genus,NA,Acmaea,Acmaeidae,Patellogastropoda,Gastropoda,NA,NA,Animalia,Acmaea sp.,FALSE,TRUE
,,,NA,NA,NA,NA,Acoelia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acoelida,FALSE,TRUE
,,,Acteocina,NA,NA,NA,Acteocina,barrel-bubble,Mollusca,Genus,NA,Acteocina,Cylichnidae,Cephalaspidea,Gastropoda,NA,NA,Animalia,Acteocina sp.,FALSE,TRUE
,,,Actinauge verrilli,reticulate anemone,NA,NA,Actinauge verrilli,reticulate anemone,Cnidaria,Species,Actinauge verrilli,Actinauge,Hormathiidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinauge verrilli,TRUE,TRUE
,,,Actinernus,NA,NA,NA,Actinernus,beaded mud crab,Cnidaria,Genus,NA,Actinernus,Actinernidae,Actiniaria,Anthozoa,NA,NA,Metazoa,Actinernus sp.,FALSE,TRUE
,,,Actinernus,NA,NA,NA,Actinernus,beaded mud crab,Cnidaria,Genus,NA,Actinernus,Actinernidae,Actiniaria,Anthozoa,NA,NA,Metazoa,Actinernus spp.,FALSE,TRUE
,,,Actinia,NA,NA,NA,Actinia,Tom_quet de mar,Cnidaria,Genus,NA,Actinia,Actiniidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,ACTIIA,FALSE,TRUE
,,,Actiniaria,NA,NA,NA,Actiniaria,anemones,Cnidaria,Order,NA,NA,NA,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,ACTINARIA,FALSE,TRUE
,,,Actiniaria,NA,NA,NA,Actiniaria,anemones,Cnidaria,Order,NA,NA,NA,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actiniaria,FALSE,TRUE
,,,Actiniidae,NA,NA,NA,Actiniidae,NA,Cnidaria,Family,NA,NA,Actiniidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,ACTIIIDAE,FALSE,TRUE
,,,Actiniidae,NA,NA,NA,Actiniidae,NA,Cnidaria,Family,NA,NA,Actiniidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actiniidae unid.,FALSE,TRUE
,,,Actinoscyphia,NA,NA,NA,Actinoscyphia,venus fly-trap anemone,Cnidaria,Genus,NA,Actinoscyphia,Actinoscyphiidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinoscyphia sp.,FALSE,TRUE
,,,Actinoscyhpia,NA,NA,NA,Actinoscyphia,venus fly-trap anemone,Cnidaria,Genus,NA,Actinoscyphia,Actinoscyphiidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinoscyphia spp.,FALSE,TRUE
,,,Actinostola,NA,NA,NA,Actinostola,brusksj_rose,Cnidaria,Genus,NA,Actinostola,Actinostolidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinistola sp. A (Clark 2006),FALSE,TRUE
,,,Actinostola,NA,NA,NA,Actinostola,brusksj_rose,Cnidaria,Genus,NA,Actinostola,Actinostolidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinistola sp. B (Clark 2006),FALSE,TRUE
,,,Actinostola,NA,NA,NA,Actinostola,brusksj_rose,Cnidaria,Genus,NA,Actinostola,Actinostolidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinostola sp.,FALSE,TRUE
,,,Actinostola,NA,NA,NA,Actinostola,brusksj_rose,Cnidaria,Genus,NA,Actinostola,Actinostolidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinostola spp.,FALSE,TRUE
,,,Actinostola groenlandica,NA,NA,NA,Actinostola groenlandica,NA,Cnidaria,Species,Actinostola groenlandica,Actinostola,Actinostolidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinostola groenlandica,TRUE,TRUE
,,,Actinostolidae,NA,NA,NA,Actinostolidae,NA,Cnidaria,Family,NA,NA,Actinostolidae,Actiniaria,Anthozoa,NA,Anthozoa,Animalia,Actinostolidae,FALSE,TRUE
,,y,Ancylopsetta dilecta ,three eyed flounder,NA,NA,Acylopsetta dilecta,three-eye flounder,Chordata,Species,Ancylopsetta dilecta,Ancylopsetta,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACYLOPSETTA DILECTA,TRUE,TRUE
,,,Ancylopsetta (ommata) quadrocellata,ocellated flounder,NA,NA,Acylopsetta quadrocellata,Gulf of Mexico ocellated flounder,Chordata,Species,Ancylopsetta quadrocellata,Ancylopsetta,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ACYLOPSETTA QUADROCELLATA,TRUE,TRUE
,,,Adelosebastes latens,rockfish,NA,NA,Adelosebastes latens,Aleutian scorpionfish,Chordata,Species,Adelosebastes latens,Adelosebastes,Scorpaenidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Adelosebastes latens,TRUE,TRUE
,,,Admete laevior,NA,NA,NA,Admete laevior,NA,Mollusca,Species,Admete laevior,Admete,Cancellariidae,Neogastropoda,Gastropoda,NA,NA,Animalia,Admete laevior,TRUE,TRUE
,,,Admete regina ,noble admete ,NA,NA,Admete regina,noble admete,Mollusca,Species,Admete regina,Admete,Cancellariidae,Neogastropoda,Gastropoda,NA,NA,Animalia,Admete regina,TRUE,TRUE
,,,Aega psora,NA,NA,NA,Aega psora,Schmarotzerassel,Arthropoda,Species,Aega psora,Aega,Aegidae,Isopoda,Malacostraca,NA,Crustacea,Animalia,AEGA PSORA,TRUE,TRUE
,,couldnÍt find this one,Aelia,NA,NA,NA,Aelia,NA,Arthropoda,genus,NA,Aelia,Pentatomidae,Hemiptera,Insecta,Hexapoda,NA,Metazoa,AELIDA,FALSE,TRUE
,,,Etropus crossotus  ,fringed flounder,3.49,0.14,Aeluropus intermedius,NA,Chordata,Species,Etropus crossotus ,Etropus,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ETROPUS ITERMEDIUS,TRUE,TRUE
,,,Aequipecten glyptus,red ribbed scallop ,NA,NA,Aequipecten glyptus,red-ribbed scallop,Mollusca,Species,Aequipecten glyptus,Aequipecten,Pectinidae,Pectinoida,Bivalvia,NA,NA,Animalia,AEQUIPECTE GLYPTUS,TRUE,TRUE
,,Lindapecten?,Aequipecten muscosus,NA,NA,NA,Aequipecten muscosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AEQUIPECTE MUSCOSUS,TRUE,TRUE
,,,Aequipecten ,NA,NA,NA,Aequipenne,NA,Mollusca,Genus,NA,Aequipecten,Pectinidae,Pectinoida,Bivalvia,NA,NA,Animalia,AEQUIPECTE,FALSE,TRUE
,,,Aequorea,NA,NA,NA,Aequorea,Crystal Jellies,Cnidaria,Genus,NA,Aequorea,Aequoreidae,Leptothecatae,Hydrozoa,NA,Medusozoa,Animalia,AEQUOREA,FALSE,TRUE
,,,Aequorea,NA,NA,NA,Aequorea,Crystal Jellies,Cnidaria,Genus,NA,Aequorea,Aequoreidae,Leptothecatae,Hydrozoa,NA,Medusozoa,Animalia,Aequorea sp.,FALSE,TRUE
,,,Aequorea,NA,NA,NA,Aequorea,Crystal Jellies,Cnidaria,Genus,NA,Aequorea,Aequoreidae,Leptothecatae,Hydrozoa,NA,Medusozoa,Animalia,Aequorea spp.,FALSE,TRUE
,,y,Aequorea aequorea,Crystal Jelly,NA,NA,Aequorea aequorea,batfishes,Cnidaria,Species,Aequorea aequorea,Aequorea,Aequoreidae,Leptothecatae,Hydrozoa,NA,NA,Animalia,AEQUOREA AEQUOREA,TRUE,TRUE
,,,Aetobatus,NA,NA,NA,Aetobatus,bonnet rays,Chordata,Genus,NA,Aetobatus,Myliobatidae,Myliobatiformes,Chondrichthyes,Osteichthyes,Vertebrata,Animalia,AETOBATUS ARIARI,TRUE,TRUE
,,y,Aetobatus narinari,n,4.17,0.13,Aetobatus narinari,spotted eagle ray,Chordata,Species,Aetobatus narinari,Aetobatus,Myliobatidae,Myliobatiformes,Chondrichthyes,Osteichthyes,Vertebrata,Animalia,AETOBATUS NARINARI,TRUE,TRUE
,,,Aforia ,NA,NA,NA,Aforia,Aforia,Mollusca,Genus,NA,Aforia,Turridae,Neogastropoda,Gastropoda,NA,NA,Animalia,Aforia sp.,FALSE,TRUE
,,,Aforia,NA,NA,NA,Aforia,Aforia,Mollusca,Genus,NA,Aforia,Turridae,Neogastropoda,Gastropoda,NA,NA,Animalia,Aforia spp.,FALSE,TRUE
,,y,Aforia circinata,keeled aforia,NA,NA,Aforia circinata,keeled aforia,Mollusca,Species,Aforia circinata,Aforia,Turridae,Neogastropoda,Gastropoda,NA,NA,Animalia,Aforia circinata,TRUE,TRUE
,,,Aforia goodei,NA,NA,NA,Aforia goodei,Goode's Turris,Mollusca,Species,Aforia goodei,Aforia,Turridae,Neogastropoda,Gastropoda,NA,NA,Animalia,Aforia goodei,TRUE,TRUE
,,,Aglaophenia,NA,NA,NA,Aglaophenia,Gelber Federpolyp,Cnidaria,Genus,NA,Aglaophenia,Aglaopheniidae,Leptothecatae,Hydrozoa,NA,Medusozoa,Animalia,Aglaophenia sp.,FALSE,TRUE
,,,Agonidae,sea poachers,NA,NA,Agonidae,poachers,Chordata,Family,NA,NA,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Agonidae,FALSE,TRUE
,,,Agonidae,sea poachers,NA,NA,Agonidae,poachers,Chordata,Family,NA,NA,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,AGONIDAE,FALSE,TRUE
,,,Agonopsis sterletus,southern spearnose poacher,NA,NA,Agonopsis sterletus,southern spearnose poacher,Chordata,Species,Agonopsis sterletus,Agonopsis,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Agonopsis sterletus,TRUE,TRUE
,,,Agonopsis vulsa,northern spearnose poacher,NA,NA,Agonopsis vulsa,northern spearnose poacher,Chordata,Species,Agonopsis vulsa,Agonopsis,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Agonopsis vulsa,TRUE,TRUE
,,,Agriopoma texasianum,texas venus,NA,NA,Agriopoma texasiana,NA,Mollusca,Species,Agriopoma texasianum,Agriopoma,Veneridae,Veneroida,Bivalvia,NA,NA,Animalia,AGRIOPOMA TEXASIAA,TRUE,TRUE
,,,Alaskagorgia aleutiana,NA,NA,NA,Alaskagorgia aleutiana,NA,Cnidaria,Species,Alaskagorgia aleutiana,Alaskagorgia,Plexauridae,Alcyonacea,Anthozoa,NA,NA,Animalia,Alaskagorgia aleutiana,TRUE,TRUE
,,y,Albatrossia pectoralis,giant grenadier,4.3,0.66,Albatrossia pectoralis,giant grenadier,Chordata,Species,Albatrossia pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Albatrossia pectoralis,TRUE,TRUE
,,y,Albunea paretii,beach mole crab,NA,NA,Albunea paretii,beach mole crab,Arthropoda,Species,Albunea paretii,Albunea,Albuneidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ALBUEA PARETII,TRUE,TRUE
,,y,Albunea paretii,beach mole crab ,NA,NA,Albunea paretii,beach mole crab,Arthropoda,Species,Albunea paretii,Albunea,Albuneidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,ALBUNEA PARETII,TRUE,TRUE
,,,Alcyonacea,NA,NA,NA,Alcyonacea,soft corals,Cnidaria,Order,NA,NA,NA,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,Alcyonacea,FALSE,TRUE
,,,Alcyonidium,NA,NA,NA,Alcyonidium,zeevinger,Bryozoa,Genus,NA,Alcyonidium,Alcyonidiidae,Ctenostomata,Gymnolaemata,NA,NA,Animalia,Alcyonidium sp.,FALSE,TRUE
,,,Alcyonidium,NA,NA,NA,Alcyonidium,zeevinger,Bryozoa,Genus,NA,Alcyonidium,Alcyonidiidae,Ctenostomata,Gymnolaemata,NA,NA,Animalia,Alcyonidium sp. A,FALSE,TRUE
,,y this is cool.,Alcyonidium peduncalatum ,NA,NA,NA,Alcyonidium pedunculatum,NA,Bryozoa,Species,Alcyonidium pedunculatum,Alcyonidium,Alcyonidiidae,Ctenostomata,Gymnolaemata,NA,NA,Animalia,Alcyonidium pedunculatum,TRUE,TRUE
,,,Alcyoniidae,NA,NA,NA,Alcyoniidae,true soft corals,Cnidaria,Family,NA,NA,Alcyoniidae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,ALCYOIDIIDAE,FALSE,TRUE
,,,Alcyoniidae,NA,NA,NA,Alcyoniidae,true soft corals,Cnidaria,Family,NA,NA,Alcyoniidae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,ALCYONIIDAE (FAMILY SOFT CORAL),FALSE,TRUE
,,,Alcyonium,NA,NA,NA,Alcyonium,Nordische Korkkoralle,Cnidaria,Genus,NA,Alcyonium,Alcyoniidae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,Alcyonium sp.,FALSE,TRUE
,,,Alcyonium,NA,NA,NA,Alcyonium,Nordische Korkkoralle,Cnidaria,Genus,NA,Alcyonium,Alcyoniidae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,Alcyonium sp. A (Clark 2006),FALSE,TRUE
,,,Alcyonium,NA,NA,NA,Alcyonium,Nordische Korkkoralle,Cnidaria,Genus,NA,Alcyonium,Alcyoniidae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,Alcyonium sp. B (Clark 2006),FALSE,TRUE
,,y,Alcyonium digitaturn ,dead man's fingers,NA,NA,Alcyonium digitatum,dead man's fingers,Cnidaria,Species,Alcyonium digitatum,Alcyonium,Alcyoniidae,Alcyonacea,Anthozoa,NA,Anthozoa,Animalia,ALCYONIUM DIGITATUM,TRUE,TRUE
,,y,Aldrovandia affinis,Gilbert's halosaurid,3.3,0.4,Aldrovandia affinis,sea pens,Chordata,Species,Aldrovandia affinis,Aldrovandia,Halosauridae,Notacanthiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ALDROVANDIA AFFINIS,TRUE,TRUE
,,y,Aldrovandia phalacra,Hawaiian halosaurid,3.17,0.34,Aldrovandia phalacra,NA,Chordata,Species,Aldrovandia phalacra,Aldrovandia,Halosauridae,Notacanthiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ALDROVANDIA PHALACRA,TRUE,TRUE
,,y,Alectis ciliaris,African pompano ,3.95,0.66,Alectis ciliaris,African pompano,Chordata,Species,Alectis ciliaris,Alectis,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ALECTIS CILIARIS,TRUE,TRUE
,,,Alepisauridae,lancetfishes,NA,NA,Alepisauridae,lancetfishes,Chordata,Family,NA,NA,Alepisauridae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ALEPISAURIDAE (PLAGYODONTIDAE),FALSE,TRUE
,,y,Alepisaurus brevirostris,shortnose lancetfish,3.81,0.61,Alepisaurus brevirostris,shortnose lancetfish,Chordata,Species,Alepisaurus brevirostris,Alepisaurus,Alepisauridae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ALEPISAURUS BREVIROSTIS,TRUE,TRUE
,,y,Alepisaurus brevirostris ,shortnose lancetfish,3.81,0.61,Alepisaurus brevirostris,shortnose lancetfish,Chordata,Species,Alepisaurus brevirostris,Alepisaurus,Alepisauridae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ALEPISAURUS BREVIROSTRIS,TRUE,TRUE
,,y,Alepisaurus ferox ,longnose lancetfish,4.03,0.18,Alepisaurus ferox,longnose lancetfish,Chordata,Species,Alepisaurus ferox,Alepisaurus,Alepisauridae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Alepisaurus ferox,TRUE,TRUE
,,y,Alepisaurus ferox,longnose lancetfish,4.03,0.18,Alepisaurus ferox,longnose lancetfish,Chordata,Species,Alepisaurus ferox,Alepisaurus,Alepisauridae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,ALEPISAURUS FEROX,TRUE,TRUE
,,,Alepocephalidae,slickheads,NA,NA,Alepocephalidae,slickheads,Chordata,Family,NA,NA,Alepocephalidae,Osmeriformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Alepocephalidae,FALSE,TRUE
