"s.reg","year","trophicGroup","region","stemp","btemp","wtcpue.sum","trophicLevel.region.wmean","trophicLevel.sum","trophicLevel.wmean","trophicLevel.se.squareSum","nSpp.perGroup.perYear","nSpp.perGroup"
"ai",1986,"(3.25,3.5]","AFSC_Aleutians",7.52047893809459,4.14443324202253,247.722062346875,3.63175409238481,54.45,3.42029111394089,2.7003,16,31
"ai",1986,"(3.5,3.75]","AFSC_Aleutians",6.96953831026306,4.66298595593423,161.224279794544,3.63175409238481,61.62,3.57642726089467,2.5404,17,29
"ai",1986,"(3.75,4]","AFSC_Aleutians",6.75762346594737,4.61875026514778,28.6378100588294,3.63175409238481,26.8,3.83203806431318,0.3874,7,10
"ai",1986,"(4,4.25]","AFSC_Aleutians",6.8319853251953,4.27182186661237,71.8808317463294,3.63175409238481,33.08,4.15475030956651,1.8493,8,17
"ai",1986,"(4.25,4.5]","AFSC_Aleutians",7.25098088486918,4.16686079545455,30.7680903125,3.63175409238481,39.41,4.31683990949674,2.0928,9,16
"ai",1986,"unknown","AFSC_Aleutians",6.96685374707387,4.55738855413718,26.0541964513889,3.63175409238481,0,NA,0,66,576
"ai",1991,"(2.25,2.5]","AFSC_Aleutians",7.10492424242424,4.48703703703704,0.149490135327635,3.61207431560726,2.4,2.4,0.0441,1,1
"ai",1991,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",1991,"(2.75,3]","AFSC_Aleutians",7.45,4.425,0.0242012820512821,3.61207431560726,6,3,0,2,5
"ai",1991,"(3,3.25]","AFSC_Aleutians",7.80595450853565,4.55556457431457,2.12160018823769,3.61207431560726,50.87,3.21368941181298,1.2698,16,26
"ai",1991,"(3.25,3.5]","AFSC_Aleutians",7.23730673254316,4.65146241830065,316.08336054009,3.61207431560726,47.91,3.43084264609061,2.089,14,31
"ai",1991,"(3.5,3.75]","AFSC_Aleutians",7.46927033279388,4.72296779195463,87.2123156678877,3.61207431560726,43.57,3.58034283564393,1.6815,12,29
"ai",1991,"(3.75,4]","AFSC_Aleutians",7.2504474751439,4.50425967261905,10.4647018406593,3.61207431560726,30.72,3.81960860194176,0.5899,8,10
"ai",1991,"(4,4.25]","AFSC_Aleutians",7.22208575596207,4.50627171482628,71.496345977615,3.61207431560726,37.18,4.14109713455529,2.2093,9,17
"ai",1991,"(4.25,4.5]","AFSC_Aleutians",7.25774840239126,4.29630036630037,30.1860111182336,3.61207431560726,35.06,4.31100494288953,1.6516,8,16
"ai",1991,"unknown","AFSC_Aleutians",7.16958052012341,4.59889252645503,15.9672604273504,3.61207431560726,0,NA,0.1089,103,576
"ai",1994,"(2.25,2.5]","AFSC_Aleutians",6.02368645243645,4.22715164465164,0.353449883099705,3.57036442252393,2.4,2.4,0.0441,1,1
"ai",1994,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",1994,"(2.75,3]","AFSC_Aleutians",5.3,3.95,0.00855,3.57036442252393,3,3,0,1,5
"ai",1994,"(3,3.25]","AFSC_Aleutians",6.14772072287577,4.14694696422701,6.57841048478836,3.57036442252393,41.26,3.24059880257538,1.0708,13,26
"ai",1994,"(3.25,3.5]","AFSC_Aleutians",6.22334093988498,4.15341069365306,504.997211252834,3.57036442252393,51.15,3.41913951243836,2.0999,15,31
"ai",1994,"(3.5,3.75]","AFSC_Aleutians",6.01685561306394,4.26889506065584,50.845837707672,3.57036442252393,54.4,3.5874227070429,2.0136,15,29
"ai",1994,"(3.75,4]","AFSC_Aleutians",6.49905360717861,4.0558610793333,3.68645977324263,3.57036442252393,22.87,3.80089810874263,0.6905,6,10
"ai",1994,"(4,4.25]","AFSC_Aleutians",6.29123731019177,4.11148136864424,83.4309183247669,3.57036442252393,49.52,4.14286853485526,2.6514,12,17
"ai",1994,"(4.25,4.5]","AFSC_Aleutians",5.9941973101595,4.04306668385727,39.722520162037,3.57036442252393,48.2,4.31236904301418,2.9105,11,16
"ai",1994,"unknown","AFSC_Aleutians",6.06586212320559,4.20004641956683,33.2386294172336,3.57036442252393,0,NA,0,174,576
"ai",1997,"(2.25,2.5]","AFSC_Aleutians",6.76254623015873,4.67933134920635,0.360135615646259,3.57641317502108,2.4,2.4,0.0441,1,1
"ai",1997,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",1997,"(2.75,3]","AFSC_Aleutians",7.50833333333333,5.05,0.0168428571428571,3.57641317502108,6,3,0,2,5
"ai",1997,"(3,3.25]","AFSC_Aleutians",6.92861598585626,4.59032794386684,10.6704713709373,3.57641317502108,53.71,3.18918619991193,1.1254,17,26
"ai",1997,"(3.25,3.5]","AFSC_Aleutians",6.83055067763814,4.62816975806566,531.266954032407,3.57641317502108,51.15,3.42586579211203,2.2784,15,31
"ai",1997,"(3.5,3.75]","AFSC_Aleutians",6.95907331477389,4.72988626842172,79.9152051381803,3.57641317502108,65.09,3.59012397383598,2.744,18,29
"ai",1997,"(3.75,4]","AFSC_Aleutians",6.9584133572784,4.413870989539,6.41329139880952,3.57641317502108,26.79,3.81225611584961,0.893,7,10
"ai",1997,"(4,4.25]","AFSC_Aleutians",6.72545049398033,4.56916891717071,68.8920402612434,3.57641317502108,45.3,4.15057209101796,2.6318,11,17
"ai",1997,"(4.25,4.5]","AFSC_Aleutians",6.9785955371732,4.38995663369514,57.9299571239607,3.57641317502108,35.03,4.30803654880866,2.0928,8,16
"ai",1997,"unknown","AFSC_Aleutians",6.75955835920285,4.62076680371646,33.8914422542517,3.57641317502108,0,NA,0,220,576
"ai",2000,"(2.25,2.5]","AFSC_Aleutians",5.6441919006919,3.98351485551486,0.437228620634921,3.63210687557983,2.4,2.4,0.0441,1,1
"ai",2000,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",2000,"(2.75,3]","AFSC_Aleutians",5.04,3.76,0.0039,3.63210687557983,3,3,0,1,5
"ai",2000,"(3,3.25]","AFSC_Aleutians",5.41665755208333,3.87114911954365,8.09474510863095,3.63210687557983,50.77,3.1896923161345,1.0302,16,26
"ai",2000,"(3.25,3.5]","AFSC_Aleutians",5.59037049012742,4.02370341639747,534.747675690675,3.63210687557983,58.2,3.43020573344567,2.7877,17,31
"ai",2000,"(3.5,3.75]","AFSC_Aleutians",5.53813502962636,4.09658274795251,127.847735838046,3.63210687557983,50.88,3.58306792089558,2.2911,14,29
"ai",2000,"(3.75,4]","AFSC_Aleutians",5.28525151562819,3.80046412348472,6.86059650694444,3.63210687557983,22.94,3.82236643733816,0.4574,6,10
"ai",2000,"(4,4.25]","AFSC_Aleutians",5.48281344231926,3.89087647414391,67.3364210301611,3.63210687557983,49.43,4.15024514049314,2.9918,12,17
"ai",2000,"(4.25,4.5]","AFSC_Aleutians",5.45983759553204,4.02925394821228,121.926206480407,3.63210687557983,39.53,4.30598354595491,2.7328,9,16
"ai",2000,"unknown","AFSC_Aleutians",5.39236498379761,3.96748319678674,30.6227017785053,3.63210687557983,0,NA,0.1089,222,576
"ai",2002,"(2.25,2.5]","AFSC_Aleutians",5.32255675805676,4.17598617123617,0.443840700113379,3.59030237089105,2.4,2.4,0.0441,1,1
"ai",2002,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",2002,"(2.75,3]","AFSC_Aleutians",6.30555555555556,4.27777777777778,0.004675,3.59030237089105,9,3,0,3,5
"ai",2002,"(3,3.25]","AFSC_Aleutians",5.58942965568473,4.05432436859822,6.98652609670257,3.59030237089105,53.9,3.20215007340997,1.1146,17,26
"ai",2002,"(3.25,3.5]","AFSC_Aleutians",5.4488191994657,4.12910275236752,552.84623718043,3.59030237089105,60.91,3.43018481271028,2.8336,18,31
"ai",2002,"(3.5,3.75]","AFSC_Aleutians",5.75019938488868,4.22678966073346,109.480400086735,3.59030237089105,54.46,3.57974113712033,2.1627,15,29
"ai",2002,"(3.75,4]","AFSC_Aleutians",5.40444390274628,4.1043688303099,5.75688120493197,3.59030237089105,34.48,3.80945085340393,0.9014,9,10
"ai",2002,"(4,4.25]","AFSC_Aleutians",5.74056748146541,4.10260766339582,65.9271092048847,3.59030237089105,53.66,4.15243407183024,2.7355,13,17
"ai",2002,"(4.25,4.5]","AFSC_Aleutians",5.63448228565416,3.95251176196489,76.4962455531935,3.59030237089105,35.03,4.30403946860365,1.9503,8,16
"ai",2002,"unknown","AFSC_Aleutians",5.64119817085842,4.13513239222359,28.4389329153124,3.59030237089105,0,NA,0.1089,260,576
"ai",2004,"(2.25,2.5]","AFSC_Aleutians",6.44694374416433,4.40220121381886,0.25639559164777,3.60501458185873,2.4,2.4,0.0441,1,1
"ai",2004,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",2004,"(2.75,3]","AFSC_Aleutians",6.18333333333333,4.66111111111111,0.00663571428571429,3.60501458185873,9,3,0,3,5
"ai",2004,"(3,3.25]","AFSC_Aleutians",6.57070643038119,4.35777704496078,10.3041471556122,3.60501458185873,57.18,3.20865411404362,1.2098,18,26
"ai",2004,"(3.25,3.5]","AFSC_Aleutians",6.87828307753681,4.30865617920091,674.882523724421,3.60501458185873,67.92,3.42053847072672,3.4087,20,31
"ai",2004,"(3.5,3.75]","AFSC_Aleutians",6.67993486496129,4.60652935108161,87.0844104973545,3.60501458185873,68.78,3.58608968842531,2.891,19,29
"ai",2004,"(3.75,4]","AFSC_Aleutians",6.82145482096871,4.31668629863074,7.515818031935,3.60501458185873,34.45,3.81625506445335,1.0198,9,10
"ai",2004,"(4,4.25]","AFSC_Aleutians",6.40373212586914,4.33674513709092,78.226148756787,3.60501458185873,57.75,4.14642798824462,3.2167,14,17
"ai",2004,"(4.25,4.5]","AFSC_Aleutians",6.57741263327722,4.04866970742,124.091523079777,3.60501458185873,30.63,4.30292339552452,1.5147,7,16
"ai",2004,"unknown","AFSC_Aleutians",6.49051688811252,4.34234500004348,47.5826727809841,3.60501458185873,0,NA,0.1089,297,576
"ai",2006,"(2.25,2.5]","AFSC_Aleutians",5.83762626262626,4.33371212121212,0.102155216802168,3.62359192620811,2.4,2.4,0.0441,1,1
"ai",2006,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",2006,"(2.75,3]","AFSC_Aleutians",8.8,4.05,0.000578048780487805,3.62359192620811,3,3,0,1,5
"ai",2006,"(3,3.25]","AFSC_Aleutians",6.32815820504262,4.11253896271337,7.64805131242741,3.62359192620811,57.06,3.22375363448764,1.1786,18,26
"ai",2006,"(3.25,3.5]","AFSC_Aleutians",6.18422897614448,4.13872368350099,566.950584101787,3.62359192620811,67.92,3.43447323883685,3.396,20,31
"ai",2006,"(3.5,3.75]","AFSC_Aleutians",5.96343587324038,4.27497585145091,77.8781640410859,3.62359192620811,65.19,3.59086246247927,2.947,18,29
"ai",2006,"(3.75,4]","AFSC_Aleutians",5.82542532636396,4.20654115847781,7.26745839309911,3.62359192620811,26.68,3.80938162068942,0.3817,7,10
"ai",2006,"(4,4.25]","AFSC_Aleutians",6.31080424036779,4.198822574773,74.6606659527857,3.62359192620811,45.42,4.15239927260475,2.6318,11,17
"ai",2006,"(4.25,4.5]","AFSC_Aleutians",6.45049277458464,4.00817366541919,106.123873885792,3.62359192620811,43.85,4.30319276618652,2.3228,10,16
"ai",2006,"unknown","AFSC_Aleutians",5.86204020768822,4.19711147689691,54.9118502099244,3.62359192620811,0,NA,0,302,576
"ai",2010,"(2.25,2.5]","AFSC_Aleutians",6.12481292517007,4.41685799319728,0.513944302721088,3.5214402828542,2.4,2.4,0.0441,1,1
"ai",2010,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",2010,"(2.75,3]","AFSC_Aleutians",5.7,4.46,0.00141666666666667,3.5214402828542,3,3,0,1,5
"ai",2010,"(3,3.25]","AFSC_Aleutians",6.61507409879099,4.36847529383017,8.58914873063114,3.5214402828542,60.15,3.20520124087319,1.291,19,26
"ai",2010,"(3.25,3.5]","AFSC_Aleutians",6.62011392428665,4.31645806568525,861.443641590246,3.5214402828542,67.72,3.4367314741253,3.0961,20,31
"ai",2010,"(3.5,3.75]","AFSC_Aleutians",6.36396630615793,4.5325946034897,99.9807115579491,3.5214402828542,72.31,3.58378664292311,2.8318,20,29
"ai",2010,"(3.75,4]","AFSC_Aleutians",6.27776910430839,4.54950130385487,4.47619879199735,3.5214402828542,26.8,3.80413188265555,0.4174,7,10
"ai",2010,"(4,4.25]","AFSC_Aleutians",6.14961906722643,4.34307271983328,57.9978355821317,3.5214402828542,49.5,4.14475986417847,3.1647,12,17
"ai",2010,"(4.25,4.5]","AFSC_Aleutians",6.2113322301239,4.13619832225388,41.628720390873,3.5214402828542,39.49,4.30491816168874,2.1951,9,16
"ai",2010,"unknown","AFSC_Aleutians",6.18864110671438,4.35453825806261,45.5887392868481,3.5214402828542,0,NA,0.1089,336,576
"ai",2012,"(2.25,2.5]","AFSC_Aleutians",5.46450980392157,4.17047385620915,0.342981673441734,3.53439931589914,2.4,2.4,0.0441,1,1
"ai",2012,"(2.5,2.75]",NA,NA,NA,0,0,0,0,0,0,0
"ai",2012,"(2.75,3]","AFSC_Aleutians",5.01666666666667,3.96666666666667,0.0025109756097561,3.53439931589914,6,3,0,2,5
"ai",2012,"(3,3.25]","AFSC_Aleutians",5.65644047750679,3.79387806624511,8.58420681249194,3.53439931589914,53.92,3.22568540947749,1.1037,17,26
"ai",2012,"(3.25,3.5]","AFSC_Aleutians",5.77377693189888,3.96404785911929,792.590277128726,3.53439931589914,54.22,3.4513153902787,2.4624,16,31
"ai",2012,"(3.5,3.75]","AFSC_Aleutians",5.92353726090794,4.03642949824378,35.0035967329655,3.53439931589914,72.33,3.60329071625983,3.4715,20,29
"ai",2012,"(3.75,4]","AFSC_Aleutians",5.53488333062223,3.89187555410294,5.04395761183701,3.53439931589914,30.62,3.80440061605212,0.9714,8,10
"ai",2012,"(4,4.25]","AFSC_Aleutians",5.43755831930617,3.96977461267268,51.3662548855076,3.53439931589914,53.76,4.1393797894116,3.2468,13,17
"ai",2012,"(4.25,4.5]","AFSC_Aleutians",5.6226641360183,3.82150479921313,44.2716946443089,3.53439931589914,26.26,4.30335774071309,1.4891,6,16
"ai",2012,"unknown","AFSC_Aleutians",5.55950402898632,3.99273826184282,72.2463725756227,3.53439931589914,0,NA,0,305,576
"ebs",1982,"(2.25,2.5]","AFSC_EBS",5.3,0.6,0.000555,3.7042344428534,2.4,2.4,0.0441,1,1
"ebs",1982,"(2.75,3]","AFSC_EBS",6,4.9,0.0001325,3.7042344428534,3,3,0,1,3
"ebs",1982,"(3,3.25]","AFSC_EBS",4.80363801885682,2.34989841741084,7.1156414672619,3.7042344428534,41.06,3.09708761183857,0.9619,13,22
"ebs",1982,"(3.25,3.5]","AFSC_EBS",5.9399851762477,2.6460670442555,2.55111923958333,3.7042344428534,44.19,3.47010840981083,1.5853,13,23
"ebs",1982,"(3.5,3.75]","AFSC_EBS",5.10893792414309,2.82572176816077,76.7445044494048,3.7042344428534,43.32,3.57537915463649,1.6087,12,20
"ebs",1982,"(3.75,4]","AFSC_EBS",5.54431787458573,3.0726462585034,0.963066583333333,3.7042344428534,26.77,3.79235687018525,0.4911,7,12
"ebs",1982,"(4,4.25]","AFSC_EBS",6.07703503036658,2.96730477383064,31.0450996354167,3.7042344428534,37.35,4.15896790343386,1.7536,9,15
"ebs",1982,"(4.25,4.5]","AFSC_EBS",5.33410714285714,2.65117283950617,0.772413583333333,3.7042344428534,8.89,4.48770284982257,1.0597,2,7
"ebs",1982,"unknown","AFSC_EBS",5.57598746738562,2.27212515265513,136.889785660714,3.7042344428534,0,NA,0,65,419
"ebs",1983,"(2.25,2.5]","AFSC_EBS",9.175,2.125,0.00715432098765432,3.67895927481041,2.4,2.4,0.0441,1,1
"ebs",1983,"(2.75,3]",NA,NA,NA,0,0,0,0,0,0,0
"ebs",1983,"(3,3.25]","AFSC_EBS",8.36592420393934,3.41372927162993,6.40702833333333,3.67895927481041,47.36,3.13493650266599,1.1959,15,22
"ebs",1983,"(3.25,3.5]","AFSC_EBS",8.68481238565131,3.03303588880373,2.01879195914168,3.67895927481041,54.46,3.46427196750744,2.287,16,23
"ebs",1983,"(3.5,3.75]","AFSC_EBS",8.23544829565157,3.77502904933147,143.428337167842,3.67895927481041,39.85,3.57251513160024,1.3703,11,20
"ebs",1983,"(3.75,4]","AFSC_EBS",8.39661045991046,3.8783881969882,3.12960533950617,3.67895927481041,26.77,3.78937389451599,0.4911,7,12
"ebs",1983,"(4,4.25]","AFSC_EBS",8.45456568796163,3.25003665767668,37.3894171046443,3.67895927481041,33.25,4.16005117105864,1.3936,8,15
"ebs",1983,"(4.25,4.5]","AFSC_EBS",8.62726884226884,3.67957750582751,1.17709076131687,3.67895927481041,13.16,4.41121811358481,0.8322,3,7
"ebs",1983,"unknown","AFSC_EBS",8.50836057651807,3.00686176738845,127.425951313933,3.67895927481041,0,NA,0,110,419
"ebs",1984,"(2.25,2.5]","AFSC_EBS",7.76535087719298,2.20350877192982,0.300126117886179,3.69983441446415,2.4,2.4,0.0441,1,1
"ebs",1984,"(2.75,3]","AFSC_EBS",9.8,4,0.00350365853658537,3.69983441446415,3,3,0,1,3
"ebs",1984,"(3,3.25]","AFSC_EBS",6.68730054316099,2.85303604133961,3.48592764953542,3.69983441446415,44.23,3.12898783520458,1.1512,14,22
"ebs",1984,"(3.25,3.5]","AFSC_EBS",7.08823379044687,2.27418926949786,1.43428169715447,3.69983441446415,54.46,3.46089790561788,2.287,16,23
"ebs",1984,"(3.5,3.75]","AFSC_EBS",6.75178636881536,3.07250543330677,117.3540440527,3.69983441446415,47.07,3.57318532367527,1.8679,13,20
"ebs",1984,"(3.75,4]","AFSC_EBS",7.51726526787749,3.49169511870405,1.84319912601626,3.69983441446415,26.9,3.78611383341025,0.6836,7,12
"ebs",1984,"(4,4.25]","AFSC_EBS",7.40890783777073,3.1633728552743,35.1341125391986,3.69983441446415,41.36,4.16072377697938,2.1136,10,15
"ebs",1984,"(4.25,4.5]","AFSC_EBS",7.94171404682274,2.91640654031958,1.73403807926829,3.69983441446415,13.16,4.41262872236158,0.6897,3,7
"ebs",1984,"unknown","AFSC_EBS",7.26655064154364,2.3938733848891,132.318990416909,3.69983441446415,0,NA,0.1089,181,419
"ebs",1985,"(2.25,2.5]","AFSC_EBS",6.98787878787879,2.10144927536232,0.0951349019607843,3.68359484455324,2.4,2.4,0.0441,1,1
"ebs",1985,"(2.75,3]","AFSC_EBS",8.8,3.4,0.000208235294117647,3.68359484455324,3,3,0,1,3
"ebs",1985,"(3,3.25]","AFSC_EBS",6.46352430161964,2.95212385800271,2.55376481092437,3.68359484455324,47.48,3.15010238629536,1.1579,15,22
"ebs",1985,"(3.25,3.5]","AFSC_EBS",6.98347009834592,2.74929582004639,2.01608895098039,3.68359484455324,44.18,3.4851528724517,1.8673,13,23
"ebs",1985,"(3.5,3.75]","AFSC_EBS",6.99593283300975,3.17449864966648,129.829097537115,3.68359484455324,43.48,3.57201949026842,1.5654,12,20
"ebs",1985,"(3.75,4]","AFSC_EBS",6.46771908068783,3.06607497741644,2.6307867254902,3.68359484455324,30.8,3.797136509892,0.914,8,12
"ebs",1985,"(4,4.25]","AFSC_EBS",7.31852999450583,2.82230650545528,32.7048254565826,3.68359484455324,41.37,4.16090307157843,2.1257,10,15
"ebs",1985,"(4.25,4.5]","AFSC_EBS",7.99920833333333,2.64029166666667,0.573815607843137,3.68359484455324,17.53,4.4878416103882,0.8578,4,7
"ebs",1985,"unknown","AFSC_EBS",6.61140347361235,2.33631447551578,84.4166447728758,3.68359484455324,0,NA,0.1089,149,419
"ebs",1986,"(2.25,2.5]","AFSC_EBS",6.06666666666667,2.06785714285714,0.0241536144578313,3.70009715127783,2.4,2.4,0.0441,1,1
"ebs",1986,"(2.75,3]","AFSC_EBS",8.4,2.7,0.00220722891566265,3.70009715127783,3,3,0,1,3
"ebs",1986,"(3,3.25]","AFSC_EBS",5.32572473645258,2.00077698523274,1.86654259227386,3.70009715127783,47.48,3.14606203922169,1.1579,15,22
"ebs",1986,"(3.25,3.5]","AFSC_EBS",6.00593598484848,2.01432038161703,5.37307290495315,3.70009715127783,51.12,3.49264719791969,2.0469,15,23
"ebs",1986,"(3.5,3.75]","AFSC_EBS",5.82652670563015,1.92607258335995,112.697587713234,3.70009715127783,36.01,3.57259695509633,1.4414,10,20
"ebs",1986,"(3.75,4]","AFSC_EBS",5.75145013880392,2.81202393505965,3.20598955106139,3.70009715127783,34.52,3.79086931483306,0.742,9,12
"ebs",1986,"(4,4.25]","AFSC_EBS",6.08640057547601,2.23517986329409,34.470094530503,3.70009715127783,37.35,4.16091295984176,1.7536,9,15
"ebs",1986,"(4.25,4.5]","AFSC_EBS",5.16666666666667,1.92309941520468,0.478545281124498,3.70009715127783,13.26,4.48436281014814,1.0853,3,7
"ebs",1986,"unknown","AFSC_EBS",5.71401176754834,1.79595825640297,79.262026626506,3.70009715127783,0,NA,0.1089,154,419
"ebs",1987,"(2.25,2.5]","AFSC_EBS",8.25434782608696,3.04092261904762,0.0873617469879518,3.70060006176366,2.4,2.4,0.0441,1,1
"ebs",1987,"(2.75,3]",NA,NA,NA,0,0,0,0,0,0,0
"ebs",1987,"(3,3.25]","AFSC_EBS",6.10224389097744,3.28942752180519,2.59561222891566,3.70060006176366,47.48,3.1240673955102,1.1579,15,22
"ebs",1987,"(3.25,3.5]","AFSC_EBS",7.30323030327052,3.01834597381686,3.65595984868044,3.70060006176366,40.88,3.43352750337555,1.7872,12,23
"ebs",1987,"(3.5,3.75]","AFSC_EBS",7.36993311655812,3.28415653945088,116.467569883821,3.70060006176366,36.33,3.57286803546074,0.9929,10,20
"ebs",1987,"(3.75,4]","AFSC_EBS",7.22565476190476,3.87484195011338,2.18587831325301,3.70060006176366,26.65,3.76851605789407,0.4554,7,12
"ebs",1987,"(4,4.25]","AFSC_EBS",6.77887390436787,3.54129392459159,35.9897330507745,3.70060006176366,37.27,4.16315617259844,1.7657,9,15
"ebs",1987,"(4.25,4.5]","AFSC_EBS",7.48070652173913,4.08183333333333,0.853234317269076,3.70060006176366,21.93,4.48279566254264,1.2934,5,7
"ebs",1987,"unknown","AFSC_EBS",7.02618838213487,3.09086480677238,131.15127093254,3.70060006176366,0,NA,0,145,419
"ebs",1988,"(2.25,2.5]","AFSC_EBS",7.3256981981982,1.69344594594595,0.14805511627907,3.64816232830083,2.4,2.4,0.0441,1,1
"ebs",1988,"(2.75,3]","AFSC_EBS",5.7,4.2,0.0105593023255814,3.64816232830083,3,3,0,1,3
"ebs",1988,"(3,3.25]","AFSC_EBS",6.33938250673994,2.7029970949193,15.7302728972868,3.64816232830083,47.48,3.14948595901091,1.1579,15,22
"ebs",1988,"(3.25,3.5]","AFSC_EBS",7.18290036811677,2.33563534473133,3.20557256829088,3.64816232830083,47.66,3.45515244347113,1.8068,14,23
"ebs",1988,"(3.5,3.75]","AFSC_EBS",7.05236978177182,2.40994434832014,148.37897689438,3.64816232830083,36.33,3.57244556762697,0.9929,10,20
"ebs",1988,"(3.75,4]","AFSC_EBS",7.17182380243764,2.9892425898931,2.45712747093023,3.64816232830083,26.9,3.76459387577797,0.6836,7,12
"ebs",1988,"(4,4.25]","AFSC_EBS",7.03093432518258,2.92236602313965,35.735560397979,3.64816232830083,41.5,4.16230330806847,2.0561,10,15
"ebs",1988,"(4.25,4.5]","AFSC_EBS",7.57602657004831,2.15844655797101,1.5740261627907,3.64816232830083,17.53,4.42974769929728,0.8578,4,7
"ebs",1988,"unknown","AFSC_EBS",6.89098570049862,1.99270468333123,135.573168927649,3.64816232830083,0,NA,0,147,419
"ebs",1989,"(2.25,2.5]","AFSC_EBS",7.57611111111111,3.27205882352941,0.0959854651162791,3.66582315545082,2.4,2.4,0.0441,1,1
"ebs",1989,"(2.75,3]",NA,NA,NA,0,0,0,0,0,0,0
"ebs",1989,"(3,3.25]","AFSC_EBS",6.54672976535834,3.25279818627885,3.87485226190476,3.66582315545082,44.25,3.11085286434209,1.1559,14,22
"ebs",1989,"(3.25,3.5]","AFSC_EBS",7.07487416162484,2.82662712647258,2.24392581149256,3.66582315545082,44.22,3.45775412809514,1.5952,13,23
"ebs",1989,"(3.5,3.75]","AFSC_EBS",6.73948683879349,2.88346594735455,133.716626262766,3.66582315545082,36.1,3.57193898753433,1.2377,10,20
"ebs",1989,"(3.75,4]","AFSC_EBS",6.55023373015873,3.79080307989882,2.06811685077519,3.66582315545082,19.14,3.76425275406545,0.437,5,12
"ebs",1989,"(4,4.25]","AFSC_EBS",7.20331027302009,3.276135881626,28.9603845336533,3.66582315545082,33.21,4.15978413992074,1.176,8,15
"ebs",1989,"(4.25,4.5]","AFSC_EBS",8.75322845156369,2.91234649122807,1.06212868217054,3.66582315545082,8.79,4.40380360286422,0.6641,2,7
"ebs",1989,"unknown","AFSC_EBS",6.97613715810913,2.8619010840968,114.086335759352,3.66582315545082,0,NA,0,103,419
"ebs",1990,"(2.25,2.5]","AFSC_EBS",7.79675925925926,2.68854166666667,0.236821608527132,3.65004644171525,2.4,2.4,0.0441,1,1
"ebs",1990,"(2.75,3]",NA,NA,NA,0,0,0,0,0,0,0
"ebs",1990,"(3,3.25]","AFSC_EBS",6.46487700556771,2.88878682742885,4.60053183762458,3.65004644171525,34.88,3.10447873815875,0.765,11,22
"ebs",1990,"(3.25,3.5]","AFSC_EBS",7.33615204703093,2.60253967743301,3.35487743863049,3.65004644171525,47.68,3.45022204917615,1.8353,14,23
"ebs",1990,"(3.5,3.75]","AFSC_EBS",7.09688504923948,2.42074372198666,154.989678252353,3.65004644171525,32.49,3.57166981595012,1.1149,9,20
