"","Taxon","variable","value","Year"
"105","Hemilepidotus hemilepidotus","X1982",1,1982
"106","Hemilepidotus jordani","X1982",1,1982
"107","Hemilepidotus papilio","X1982",2,1982
"108","Triglops sp.","X1982",1,1982
"109","Triglops forficata","X1982",1,1982
"110","Triglops metopias","X1982",3,1982
"111","Triglops scepticus","X1982",2,1982
"112","Triglops pingeli","X1982",2,1982
"113","Triglops macellus","X1982",2,1982
"114","Microcottus sellaris","X1982",3,1982
"115","Myoxocephalus verrucosus","X1982",3,1982
"116","Myoxocephalus polyacanthocephalus","X1982",3,1982
"117","Myoxocephalus jaok","X1982",3,1982
"118","Myoxocephalus stelleri","X1982",3,1982
"119","Myoxocephalus sp.","X1982",1,1982
"120","Myoxocephalus quadricornis","X1982",3,1982
"121","Myoxocephalus scorpioides","X1982",3,1982
"122","Megalocottus platycephalus","X1982",3,1982
"123","Leptocottus armatus","X1982",3,1982
"124","Enophrys sp.","X1982",1,1982
"125","Enophrys lucasi","X1982",3,1982
"126","Enophrys diceraus","X1982",1,1982
"127","Dasycottus setiger","X1982",1,1982
"128","Psychrolutes paradoxus","X1982",1,1982
"129","Psychrolutes phrictus","X1982",3,1982
"130","Blepsias bilobus","X1982",1,1982
"131","Nautichthys pribilovius","X1982",1,1982
"132","Nautichthys oculofasciatus","X1982",3,1982
"133","Hemitripterus bolini","X1982",1,1982
"134","Eurymen gyrinus","X1982",2,1982
"135","Icelus spiniger","X1982",1,1982
"136","Icelus canaliculatus","X1982",3,1982
"137","Icelus euryops","X1982",3,1982
"138","Icelus spatula","X1982",1,1982
"139","Icelus sp.","X1982",1,1982
"140","Trichodon trichodon","X1982",1,1982
"141","Microgadus proximus","X1982",3,1982
"142","Gadus macrocephalus","X1982",1,1982
"143","Boreogadus saida","X1982",3,1982
"144","Eleginus gracilis","X1982",1,1982
"145","Theragra chalcogramma","X1982",1,1982
"146","Gasterosteus aculeatus","X1982",1,1982
"147","Pungitius pungitius","X1982",1,1982
"148","Hexagrammidae","X1982",1,1982
"149","Pleurogrammus monopterygius","X1982",1,1982
"150","Hexagrammos sp.","X1982",1,1982
"151","Hexagrammos octogrammus","X1982",3,1982
"152","Hexagrammos stelleri","X1982",1,1982
"153","Hexagrammos lagocephalus","X1982",3,1982
"154","Hexagrammos decagrammus","X1982",2,1982
"155","Icosteus aenigmaticus","X1982",1,1982
"156","Cyclopterinae","X1982",1,1982
"157","Aptocyclus ventricosus","X1982",1,1982
"158","Eumicrotremus birulai","X1982",3,1982
"159","Eumicrotremus orbis","X1982",1,1982
"160","Eumicrotremus derjugini","X1982",3,1982
"161","Eumicrotremus andriashevi","X1982",3,1982
"162","Eumicrotremus sp.","X1982",3,1982
"163","Cyclopteropsis phrynoides","X1982",3,1982
"164","Liparidinae","X1982",1,1982
"165","Crystallichthys cyclospilus","X1982",1,1982
"166","Liparis sp.","X1982",1,1982
"167","Liparis fucensis","X1982",3,1982
"168","Liparis bristolense","X1982",3,1982
"169","Liparis dennyi","X1982",3,1982
"170","Liparis gibbus","X1982",1,1982
"171","Liparis pulchellus","X1982",3,1982
"172","Liparis ochotensis","X1982",3,1982
"173","Liparis cyclopus","X1982",3,1982
"174","Liparis rutteri","X1982",3,1982
"175","Liparis tunicatus","X1982",3,1982
"176","Elassodiscus sp.","X1982",3,1982
"177","Careproctus sp.","X1982",1,1982
"178","Careproctus melanurus","X1982",3,1982
"179","Careproctus phasma","X1982",3,1982
"180","Careproctus cypselurus","X1982",3,1982
"181","Careproctus furcellus","X1982",3,1982
"182","Careproctus scottae","X1982",3,1982
"183","Careproctus gilberti","X1982",3,1982
"184","Careproctus rastrinus","X1982",2,1982
"185","Nectoliparis pelagicus","X1982",3,1982
"186","Myctophidae","X1982",1,1982
"187","Osmeridae","X1982",1,1982
"188","Thaleichthys pacificus","X1982",1,1982
"189","Mallotus villosus","X1982",1,1982
"190","Osmerus mordax","X1982",1,1982
"191","Salmonidae","X1982",1,1982
"192","Oncorhynchus tshawytscha","X1982",1,1982
"193","Oncorhynchus kisutch","X1982",1,1982
"194","Oncorhynchus gorbuscha","X1982",1,1982
"195","Oncorhynchus keta","X1982",1,1982
"196","Oncorhynchus nerka","X1982",1,1982
"197","Onchorynchus mykiss","X1982",1,1982
"198","Salvelinus malma","X1982",1,1982
"199","Lyconectes aleutensis","X1982",1,1982
"200","Cryptacanthodes giganteus","X1982",1,1982
"201","Stichaeidae","X1982",1,1982
"202","Eumesogrammus praecisus","X1982",1,1982
"203","Stichaeus punctatus","X1982",3,1982
"204","Lumpenus sp.","X1982",2,1982
"205","Lumpenus maculatus","X1982",3,1982
"206","Lumpenus medius","X1982",3,1982
"207","Lumpenus fabricii","X1982",3,1982
"208","Lumpenus sagitta","X1982",3,1982
"209","Acantholumpenus mackayi","X1982",3,1982
"210","Lumpenella longirostris","X1982",3,1982
"211","Chirolophis sp.","X1982",3,1982
"212","Chirolophis decoratus","X1982",3,1982
"213","Chirolophis snyderi","X1982",3,1982
"214","Poroclinus rothrocki","X1982",3,1982
"215","Pholidae","X1982",3,1982
"216","Zaprora silenus","X1982",1,1982
"217","Zoarcidae","X1982",1,1982
"218","Lycodes sp.","X1982",1,1982
"219","Lycodes raridens","X1982",1,1982
"220","Lycodes palearis","X1982",1,1982
"221","Lycodes mucosus","X1982",3,1982
"222","Lycodes polaris","X1982",3,1982
"223","Lycodes turneri","X1982",3,1982
"224","Lycodes brevipes","X1982",1,1982
"225","Gymnelus viridis","X1982",3,1982
"226","roundfish unident.","X1982",1,1982
"227","Sebastes sp.","X1982",1,1982
"228","Sebastes aleutianus","X1982",3,1982
"229","Sebastes melanostictus","X1982",3,1982
"230","Sebastes alutus","X1982",1,1982
"231","dusky and dark rockfishes unid","X1982",1,1982
"232","Sebastes variabilis","X1982",1,1982
"233","Sebastes crameri","X1982",3,1982
"234","Sebastes flavidus","X1982",3,1982
"235","Sebastes polyspinis","X1982",1,1982
"236","Sebastes variegatus","X1982",1,1982
"237","fish eggs unident.","X1983",1,1983
"238","fish larvae unident.","X1983",1,1983
"239","fish unident.","X1983",1,1983
"240","Petromyzontidae","X1983",1,1983
"241","Lampetra tridentata","X1983",2,1983
"242","Lamna ditropis","X1983",1,1983
"243","Squalus acanthias","X1983",1,1983
"244","Somniosus pacificus","X1983",1,1983
"245","Rajidae unident.","X1983",1,1983
"246","skate egg case unident.","X1983",1,1983
"247","Bathyraja sp. egg case","X1983",1,1983
"248","Raja sp.","X1983",3,1983
"249","Raja binoculata","X1983",2,1983
"250","Raja rhina","X1983",3,1983
"251","Raja stellulata","X1983",3,1983
"252","Bathyraja sp.","X1983",2,1983
"253","Bathyraja abyssicola","X1983",3,1983
"254","Bathyraja interrupta","X1983",3,1983
"255","Bathyraja interrupta
egg case","X1983",3,1983
"256","Bathyraja taranetzi","X1983",3,1983
"257","Bathyraja parmifera","X1983",3,1983
"258","Bathyraja aleutica","X1983",3,1983
"259","Bathyraja parmifera
egg case","X1983",3,1983
"260","Bathyraja maculata","X1983",3,1983
"261","Bathyraja smirnovi","X1983",3,1983
"262","Bathyraja violacea","X1983",3,1983
"263","Pleuronectiformes","X1983",1,1983
"264","Citharichthys sp.","X1983",3,1983
"265","Citharichthys sordidus","X1983",3,1983
"266","Atheresthes stomias","X1983",3,1983
"267","Atheresthes sp.","X1983",1,1983
"268","Atheresthes evermanni","X1983",3,1983
"269","Reinhardtius hippoglossoides","X1983",1,1983
"270","Hippoglossus stenolepis","X1983",1,1983
"271","Hippoglossoides sp.","X1983",1,1983
"272","Hippoglossoides elassodon","X1983",2,1983
"273","Hippoglossoides robustus","X1983",2,1983
"274","Lyopsetta exilis","X1983",3,1983
"275","Lyopsetta glacialis","X1983",3,1983
"276","Parophrys vetulus","X1983",3,1983
"277","Microstomus pacificus","X1983",1,1983
"278","Glyptocephalus zachirus","X1983",1,1983
"279","Limanda aspera","X1983",1,1983
"280","Limanda proboscidea","X1983",1,1983
"281","Limanda sakhalinensis","X1983",1,1983
"282","Platichthys stellatus","X1983",1,1983
"283","Platichthys stellatus X Pleuronectes quadrituberculatus.","X1983",1,1983
"284","Psettichthys melanostictus","X1983",3,1983
"285","Lepidopsetta sp.","X1983",1,1983
"286","Lepidopsetta polyxystra","X1983",3,1983
"287","Lepidopsetta bilineata","X1983",3,1983
"288","Isopsetta isolepis","X1983",3,1983
"289","Pleuronectes quadrituberculatus","X1983",1,1983
"290","Pleuronichthys sp.","X1983",3,1983
"291","Agonidae","X1983",1,1983
"292","Pallasina barbata","X1983",1,1983
"293","Percis japonicus","X1983",1,1983
"294","Leptagonus sp.","X1983",2,1983
"295","Leptagonus leptorhynchus","X1983",2,1983
"296","Leptagonus frenatus","X1983",2,1983
"297","Agonopsis vulsa","X1983",3,1983
"298","Odontopyxis trispinosa","X1983",3,1983
"299","Bathyagonus sp.","X1983",2,1983
"300","Bathyagonus alascanus","X1983",2,1983
"301","Bathyagonus infraspinatus","X1983",3,1983
"302","Bathyagonus pentacanthus","X1983",3,1983
"303","Bathyagonus nigripinnis","X1983",3,1983
"304","Podothecus accipenserinus","X1983",1,1983
"305","Podothecus veternus","X1983",3,1983
"306","Aspidophoroides bartoni","X1983",1,1983
"307","Aspidophoroides olriki","X1983",2,1983
"308","Anoplagonus inermis","X1983",3,1983
"309","Chesnonia verrucosa","X1983",3,1983
"310","Occella dodecaedron","X1983",1,1983
"311","Hypsagonus quadricornis","X1983",1,1983
"312","Ammodytes hexapterus","X1983",1,1983
"313","Anarrhichthys ocellatus","X1983",3,1983
"314","Anarhichas orientalis","X1983",1,1983
"315","Anoplopoma fimbria","X1983",1,1983
"316","Aulorhynchus flavidus","X1983",3,1983
"317","Bathymasteridae","X1983",2,1983
"318","Ronquilus jordani","X1983",3,1983
"319","Bathymaster signatus","X1983",1,1983
"320","Clupea pallasi","X1983",1,1983
"321","Alosa sapidissima","X1983",3,1983
"322","Cottidae","X1983",1,1983
"323","Icelinus borealis","X1983",3,1983
"324","Gymnocanthus sp.","X1983",2,1983
"325","Gymnocanthus pistilliger","X1983",3,1983
"326","Gymnocanthus tricuspis","X1983",3,1983
"327","Gymnocanthus galeatus","X1983",3,1983
"328","Gymnocanthus detrisus","X1983",3,1983
"329","Radulinus asprellus","X1983",3,1983
"330","Artediellus sp.","X1983",2,1983
"331","Artediellus miacanthus","X1983",3,1983
"332","Artediellus pacificus","X1983",2,1983
"333","Artediellus scaber","X1983",3,1983
"334","Malacocottus sp.","X1983",1,1983
"335","Malacocottus kincaidi","X1983",3,1983
"336","Malacocottus zonurus","X1983",1,1983
"337","Hemilepidotus sp.","X1983",1,1983
"338","Hemilepidotus gilberti","X1983",3,1983
"339","Hemilepidotus spinosus","X1983",3,1983
"340","Hemilepidotus zapus","X1983",3,1983
"341","Hemilepidotus hemilepidotus","X1983",1,1983
"342","Hemilepidotus jordani","X1983",1,1983
"343","Hemilepidotus papilio","X1983",2,1983
"344","Triglops sp.","X1983",1,1983
"345","Triglops forficata","X1983",1,1983
"346","Triglops metopias","X1983",3,1983
"347","Triglops scepticus","X1983",2,1983
"348","Triglops pingeli","X1983",2,1983
"349","Triglops macellus","X1983",2,1983
"350","Microcottus sellaris","X1983",3,1983
"351","Myoxocephalus verrucosus","X1983",3,1983
"352","Myoxocephalus polyacanthocephalus","X1983",3,1983
"353","Myoxocephalus jaok","X1983",3,1983
"354","Myoxocephalus stelleri","X1983",3,1983
"355","Myoxocephalus sp.","X1983",1,1983
"356","Myoxocephalus quadricornis","X1983",3,1983
"357","Myoxocephalus scorpioides","X1983",3,1983
"358","Megalocottus platycephalus","X1983",3,1983
"359","Leptocottus armatus","X1983",3,1983
"360","Enophrys sp.","X1983",1,1983
"361","Enophrys lucasi","X1983",3,1983
"362","Enophrys diceraus","X1983",1,1983
"363","Dasycottus setiger","X1983",1,1983
"364","Psychrolutes paradoxus","X1983",1,1983
"365","Psychrolutes phrictus","X1983",3,1983
"366","Blepsias bilobus","X1983",1,1983
"367","Nautichthys pribilovius","X1983",1,1983
"368","Nautichthys oculofasciatus","X1983",3,1983
"369","Hemitripterus bolini","X1983",1,1983
"370","Eurymen gyrinus","X1983",2,1983
"371","Icelus spiniger","X1983",1,1983
"372","Icelus canaliculatus","X1983",3,1983
"373","Icelus euryops","X1983",3,1983
"374","Icelus spatula","X1983",1,1983
"375","Icelus sp.","X1983",1,1983
"376","Trichodon trichodon","X1983",1,1983
"377","Microgadus proximus","X1983",3,1983
"378","Gadus macrocephalus","X1983",1,1983
"379","Boreogadus saida","X1983",3,1983
"380","Eleginus gracilis","X1983",1,1983
"381","Theragra chalcogramma","X1983",1,1983
"382","Gasterosteus aculeatus","X1983",1,1983
"383","Pungitius pungitius","X1983",1,1983
"384","Hexagrammidae","X1983",1,1983
"385","Pleurogrammus monopterygius","X1983",1,1983
"386","Hexagrammos sp.","X1983",1,1983
"387","Hexagrammos octogrammus","X1983",3,1983
"388","Hexagrammos stelleri","X1983",1,1983
"389","Hexagrammos lagocephalus","X1983",3,1983
"390","Hexagrammos decagrammus","X1983",2,1983
"391","Icosteus aenigmaticus","X1983",1,1983
"392","Cyclopterinae","X1983",1,1983
"393","Aptocyclus ventricosus","X1983",1,1983
"394","Eumicrotremus birulai","X1983",3,1983
"395","Eumicrotremus orbis","X1983",1,1983
"396","Eumicrotremus derjugini","X1983",3,1983
"397","Eumicrotremus andriashevi","X1983",3,1983
"398","Eumicrotremus sp.","X1983",3,1983
"399","Cyclopteropsis phrynoides","X1983",3,1983
"400","Liparidinae","X1983",1,1983
"401","Crystallichthys cyclospilus","X1983",1,1983
"402","Liparis sp.","X1983",1,1983
"403","Liparis fucensis","X1983",3,1983
"404","Liparis bristolense","X1983",3,1983
"405","Liparis dennyi","X1983",3,1983
"406","Liparis gibbus","X1983",1,1983
"407","Liparis pulchellus","X1983",3,1983
"408","Liparis ochotensis","X1983",3,1983
"409","Liparis cyclopus","X1983",3,1983
"410","Liparis rutteri","X1983",3,1983
"411","Liparis tunicatus","X1983",3,1983
"412","Elassodiscus sp.","X1983",3,1983
"413","Careproctus sp.","X1983",1,1983
"414","Careproctus melanurus","X1983",3,1983
"415","Careproctus phasma","X1983",3,1983
"416","Careproctus cypselurus","X1983",3,1983
"417","Careproctus furcellus","X1983",3,1983
"418","Careproctus scottae","X1983",3,1983
"419","Careproctus gilberti","X1983",3,1983
"420","Careproctus rastrinus","X1983",2,1983
"421","Nectoliparis pelagicus","X1983",3,1983
"422","Myctophidae","X1983",1,1983
"423","Osmeridae","X1983",1,1983
"424","Thaleichthys pacificus","X1983",1,1983
"425","Mallotus villosus","X1983",1,1983
"426","Osmerus mordax","X1983",1,1983
"427","Salmonidae","X1983",1,1983
"428","Oncorhynchus tshawytscha","X1983",1,1983
"429","Oncorhynchus kisutch","X1983",1,1983
"430","Oncorhynchus gorbuscha","X1983",1,1983
"431","Oncorhynchus keta","X1983",1,1983
"432","Oncorhynchus nerka","X1983",1,1983
"433","Onchorynchus mykiss","X1983",1,1983
"434","Salvelinus malma","X1983",1,1983
"435","Lyconectes aleutensis","X1983",1,1983
"436","Cryptacanthodes giganteus","X1983",1,1983
"437","Stichaeidae","X1983",1,1983
"438","Eumesogrammus praecisus","X1983",1,1983
"439","Stichaeus punctatus","X1983",3,1983
"440","Lumpenus sp.","X1983",2,1983
"441","Lumpenus maculatus","X1983",3,1983
"442","Lumpenus medius","X1983",3,1983
"443","Lumpenus fabricii","X1983",3,1983
"444","Lumpenus sagitta","X1983",3,1983
"445","Acantholumpenus mackayi","X1983",3,1983
"446","Lumpenella longirostris","X1983",3,1983
"447","Chirolophis sp.","X1983",3,1983
"448","Chirolophis decoratus","X1983",3,1983
"449","Chirolophis snyderi","X1983",3,1983
"450","Poroclinus rothrocki","X1983",3,1983
"451","Pholidae","X1983",3,1983
"452","Zaprora silenus","X1983",1,1983
"453","Zoarcidae","X1983",1,1983
"454","Lycodes sp.","X1983",1,1983
"455","Lycodes raridens","X1983",1,1983
"456","Lycodes palearis","X1983",1,1983
"457","Lycodes mucosus","X1983",3,1983
"458","Lycodes polaris","X1983",3,1983
"459","Lycodes turneri","X1983",3,1983
"460","Lycodes brevipes","X1983",1,1983
"461","Gymnelus viridis","X1983",3,1983
"462","roundfish unident.","X1983",1,1983
"463","Sebastes sp.","X1983",1,1983
"464","Sebastes aleutianus","X1983",3,1983
"465","Sebastes melanostictus","X1983",3,1983
"466","Sebastes alutus","X1983",1,1983
"467","dusky and dark rockfishes unid","X1983",1,1983
"468","Sebastes variabilis","X1983",1,1983
"469","Sebastes crameri","X1983",3,1983
"470","Sebastes flavidus","X1983",3,1983
"471","Sebastes polyspinis","X1983",1,1983
"472","Sebastes variegatus","X1983",1,1983
"473","fish eggs unident.","X1984",1,1984
"474","fish larvae unident.","X1984",1,1984
"475","fish unident.","X1984",1,1984
"476","Petromyzontidae","X1984",1,1984
"477","Lampetra tridentata","X1984",2,1984
"478","Lamna ditropis","X1984",1,1984
"479","Squalus acanthias","X1984",1,1984
"480","Somniosus pacificus","X1984",1,1984
"481","Rajidae unident.","X1984",1,1984
"482","skate egg case unident.","X1984",1,1984
"483","Bathyraja sp. egg case","X1984",1,1984
"484","Raja sp.","X1984",3,1984
"485","Raja binoculata","X1984",2,1984
"486","Raja rhina","X1984",3,1984
"487","Raja stellulata","X1984",3,1984
"488","Bathyraja sp.","X1984",2,1984
"489","Bathyraja abyssicola","X1984",3,1984
"490","Bathyraja interrupta","X1984",3,1984
"491","Bathyraja interrupta
egg case","X1984",3,1984
"492","Bathyraja taranetzi","X1984",3,1984
"493","Bathyraja parmifera","X1984",3,1984
"494","Bathyraja aleutica","X1984",3,1984
"495","Bathyraja parmifera
egg case","X1984",3,1984
"496","Bathyraja maculata","X1984",3,1984
"497","Bathyraja smirnovi","X1984",3,1984
"498","Bathyraja violacea","X1984",3,1984
"499","Pleuronectiformes","X1984",1,1984
"500","Citharichthys sp.","X1984",3,1984
"501","Citharichthys sordidus","X1984",3,1984
"502","Atheresthes stomias","X1984",3,1984
"503","Atheresthes sp.","X1984",1,1984
"504","Atheresthes evermanni","X1984",3,1984
"505","Reinhardtius hippoglossoides","X1984",1,1984
"506","Hippoglossus stenolepis","X1984",1,1984
"507","Hippoglossoides sp.","X1984",1,1984
"508","Hippoglossoides elassodon","X1984",2,1984
"509","Hippoglossoides robustus","X1984",2,1984
"510","Lyopsetta exilis","X1984",3,1984
"511","Lyopsetta glacialis","X1984",3,1984
"512","Parophrys vetulus","X1984",3,1984
"513","Microstomus pacificus","X1984",1,1984
"514","Glyptocephalus zachirus","X1984",1,1984
"515","Limanda aspera","X1984",1,1984
"516","Limanda proboscidea","X1984",1,1984
"517","Limanda sakhalinensis","X1984",1,1984
"518","Platichthys stellatus","X1984",1,1984
"519","Platichthys stellatus X Pleuronectes quadrituberculatus.","X1984",1,1984
"520","Psettichthys melanostictus","X1984",3,1984
"521","Lepidopsetta sp.","X1984",1,1984
"522","Lepidopsetta polyxystra","X1984",3,1984
"523","Lepidopsetta bilineata","X1984",3,1984
"524","Isopsetta isolepis","X1984",3,1984
"525","Pleuronectes quadrituberculatus","X1984",1,1984
"526","Pleuronichthys sp.","X1984",3,1984
"527","Agonidae","X1984",1,1984
"528","Pallasina barbata","X1984",1,1984
"529","Percis japonicus","X1984",1,1984
"530","Leptagonus sp.","X1984",2,1984
"531","Leptagonus leptorhynchus","X1984",2,1984
"532","Leptagonus frenatus","X1984",2,1984
"533","Agonopsis vulsa","X1984",3,1984
"534","Odontopyxis trispinosa","X1984",3,1984
"535","Bathyagonus sp.","X1984",2,1984
"536","Bathyagonus alascanus","X1984",2,1984
"537","Bathyagonus infraspinatus","X1984",3,1984
"538","Bathyagonus pentacanthus","X1984",3,1984
"539","Bathyagonus nigripinnis","X1984",3,1984
"540","Podothecus accipenserinus","X1984",1,1984
"541","Podothecus veternus","X1984",3,1984
"542","Aspidophoroides bartoni","X1984",1,1984
"543","Aspidophoroides olriki","X1984",2,1984
"544","Anoplagonus inermis","X1984",3,1984
"545","Chesnonia verrucosa","X1984",3,1984
"546","Occella dodecaedron","X1984",1,1984
"547","Hypsagonus quadricornis","X1984",1,1984
"548","Ammodytes hexapterus","X1984",1,1984
"549","Anarrhichthys ocellatus","X1984",3,1984
"550","Anarhichas orientalis","X1984",1,1984
"551","Anoplopoma fimbria","X1984",1,1984
"552","Aulorhynchus flavidus","X1984",3,1984
"553","Bathymasteridae","X1984",2,1984
"554","Ronquilus jordani","X1984",3,1984
"555","Bathymaster signatus","X1984",1,1984
"556","Clupea pallasi","X1984",1,1984
"557","Alosa sapidissima","X1984",3,1984
"558","Cottidae","X1984",1,1984
"559","Icelinus borealis","X1984",3,1984
"560","Gymnocanthus sp.","X1984",2,1984
"561","Gymnocanthus pistilliger","X1984",3,1984
"562","Gymnocanthus tricuspis","X1984",3,1984
"563","Gymnocanthus galeatus","X1984",3,1984
"564","Gymnocanthus detrisus","X1984",3,1984
"565","Radulinus asprellus","X1984",3,1984
"566","Artediellus sp.","X1984",2,1984
"567","Artediellus miacanthus","X1984",3,1984
"568","Artediellus pacificus","X1984",2,1984
"569","Artediellus scaber","X1984",3,1984
"570","Malacocottus sp.","X1984",1,1984
"571","Malacocottus kincaidi","X1984",3,1984
"572","Malacocottus zonurus","X1984",1,1984
"573","Hemilepidotus sp.","X1984",1,1984
"574","Hemilepidotus gilberti","X1984",3,1984
"575","Hemilepidotus spinosus","X1984",3,1984
"576","Hemilepidotus zapus","X1984",3,1984
"577","Hemilepidotus hemilepidotus","X1984",1,1984
"578","Hemilepidotus jordani","X1984",1,1984
"579","Hemilepidotus papilio","X1984",2,1984
"580","Triglops sp.","X1984",1,1984
"581","Triglops forficata","X1984",1,1984
"582","Triglops metopias","X1984",3,1984
"583","Triglops scepticus","X1984",2,1984
"584","Triglops pingeli","X1984",2,1984
"585","Triglops macellus","X1984",2,1984
"586","Microcottus sellaris","X1984",3,1984
"587","Myoxocephalus verrucosus","X1984",3,1984
"588","Myoxocephalus polyacanthocephalus","X1984",3,1984
"589","Myoxocephalus jaok","X1984",3,1984
"590","Myoxocephalus stelleri","X1984",3,1984
"591","Myoxocephalus sp.","X1984",1,1984
"592","Myoxocephalus quadricornis","X1984",3,1984
"593","Myoxocephalus scorpioides","X1984",3,1984
"594","Megalocottus platycephalus","X1984",3,1984
"595","Leptocottus armatus","X1984",3,1984
"596","Enophrys sp.","X1984",1,1984
"597","Enophrys lucasi","X1984",3,1984
"598","Enophrys diceraus","X1984",1,1984
"599","Dasycottus setiger","X1984",1,1984
"600","Psychrolutes paradoxus","X1984",1,1984
"601","Psychrolutes phrictus","X1984",3,1984
"602","Blepsias bilobus","X1984",1,1984
"603","Nautichthys pribilovius","X1984",1,1984
"604","Nautichthys oculofasciatus","X1984",3,1984
"605","Hemitripterus bolini","X1984",1,1984
"606","Eurymen gyrinus","X1984",2,1984
"607","Icelus spiniger","X1984",1,1984
"608","Icelus canaliculatus","X1984",3,1984
