"","Taxon","variable","value","Year"
"175","Dendronotus sp.","X1982",3,1982
"176","Dendronotus frondosus","X1982",3,1982
"177","Dendronotus subramosus","X1982",3,1982
"178","Chlamylla sp.","X1982",3,1982
"179","Tritonia diomedea","X1982",3,1982
"180","Tritonia sp.","X1982",3,1982
"181","Anisodoris nobilis","X1982",3,1982
"182","dorid nudibranch unident.","X1982",3,1982
"183","Archidoris odhneri","X1982",3,1982
"184","limpet unident.","X1982",3,1982
"185","Gastropod unident.","X1982",1,1982
"186","gastropod eggs","X1982",1,1982
"187","Buccinum sp.
eggs","X1982",1,1982
"188","Neptunea sp. eggs","X1982",1,1982
"189","Asterophila japonica","X1982",3,1982
"190","Naticidae","X1982",1,1982
"191","Naticidae eggs","X1982",1,1982
"192","Cryptonatica
sp.","X1982",3,1982
"193","Cryptonatica aleutica","X1982",3,1982
"194","Cryptonatica affinis","X1982",3,1982
"195","Natica sp.","X1982",3,1982
"196","Natica clausa","X1982",3,1982
"197","Natica russa","X1982",3,1982
"198","Euspira sp.","X1982",3,1982
"199","Euspira lewisi","X1982",3,1982
"200","Euspira pallidus","X1982",3,1982
"201","Lamellaria sp.","X1982",3,1982
"202","Onchidiopsis glacialis","X1982",3,1982
"203","Onchidiopsis sp. B (Clark & McLean)","X1982",3,1982
"204","Capulacmaea commoda","X1982",3,1982
"205","Tachyrhynchus erosus","X1982",1,1982
"206","Crepidula sp.","X1982",1,1982
"207","Crepidula grandis","X1982",1,1982
"208","Colus sp.","X1982",3,1982
"209","Colus herendeenii","X1982",3,1982
"210","Colus hypolispus","X1982",3,1982
"211","Colus ombronius","X1982",3,1982
"212","Colus roseus","X1982",3,1982
"213","Colus esychus","X1982",3,1982
"214","Colus spitzbergensis","X1982",3,1982
"215","Colus aphelus","X1982",3,1982
"216","Colus halli","X1982",3,1982
"217","Colus datuzenbergii","X1982",3,1982
"218","Colus bristolensis","X1982",3,1982
"219","Pyrulofusus sp.","X1982",1,1982
"220","Pyrulofusus deformis","X1982",1,1982
"221","Pyrulofusus harpa","X1982",1,1982
"222","Pyrulofusus melonis","X1982",1,1982
"223","Volutopsius sp.","X1982",3,1982
"224","Volutopsius sp. eggs","X1982",1,1982
"225","Volutopsius fragilis","X1982",3,1982
"226","Volutopsius filosus","X1982",3,1982
"227","Volutopsius castaneus","X1982",3,1982
"228","Volutopsius simplex","X1982",3,1982
"229","Volutopsius stefanssoni","X1982",3,1982
"230","Volutopsius middendorffii","X1982",3,1982
"231","Volutopsius trophonius","X1982",3,1982
"232","Volutopsius callorhinus","X1982",3,1982
"233","Beringius sp.","X1982",3,1982
"234","Beringius kennicottii","X1982",3,1982
"235","Beringius frielei","X1982",3,1982
"236","Beringius beringii","X1982",3,1982
"237","Beringius stimpsoni","X1982",3,1982
"238","Beringius crebricostatus","X1982",3,1982
"239","Beringius undatus","X1982",3,1982
"240","Neptunea sp.","X1982",3,1982
"241","Neptunea amianta","X1982",3,1982
"242","Neptunea smirnia","X1982",3,1982
"243","Neptunea pribiloffensis","X1982",3,1982
"244","Neptunea tabulata","X1982",3,1982
"245","Neptunea borealis","X1982",3,1982
"246","Neptunea lyrata","X1982",3,1982
"247","Neptunea ventricosa","X1982",3,1982
"248","Neptunea insularis","X1982",3,1982
"249","Neptunea heros","X1982",3,1982
"250","Neptunea magna","X1982",3,1982
"251","Neptunea sp. D (Clark & McLean)","X1982",3,1982
"252","Plicifusus sp.","X1982",3,1982
"253","Plicifusus incisus","X1982",3,1982
"254","Plicifusus kroyeri","X1982",3,1982
"255","Plicifusus oceanodromae","X1982",3,1982
"256","Plicifusus griseus","X1982",3,1982
"257","Liomesus sp.","X1982",3,1982
"258","Liomesus ooides","X1982",3,1982
"259","Ancistrolepis sp.","X1982",3,1982
"260","Antiplanes sp.","X1982",3,1982
"261","Aforia sp.","X1982",1,1982
"262","Aforia goodei","X1982",3,1982
"263","Aforia circinata","X1982",1,1982
"264","Boreoscala groenlandica","X1982",2,1982
"265","Oenopota sp.","X1982",3,1982
"266","Oenopota harpa","X1982",3,1982
"267","Trichotropidae","X1982",3,1982
"268","Trichotropis coronata","X1982",3,1982
"269","Trichotropis bicarinata","X1982",3,1982
"270","Boreotrophon beringi","X1982",3,1982
"271","Boreotrophon alaskanus","X1982",3,1982
"272","Boreotrophon coronatus","X1982",3,1982
"273","Boreotrophon clathratus","X1982",3,1982
"274","Boreotrophon sp.","X1982",3,1982
"275","Boreotrophon pacificus","X1982",3,1982
"276","Fusitriton oregonensis","X1982",1,1982
"277","Fusitriton sp.","X1982",1,1982
"278","trochid unident.","X1982",3,1982
"279","Margarites sp.","X1982",3,1982
"280","Margarites pupillus","X1982",3,1982
"281","Margarites giganteus","X1982",3,1982
"282","Margarites argentatus","X1982",3,1982
"283","Margarites costalis","X1982",3,1982
"284","Solariella obscura","X1982",3,1982
"285","Buccinum sp.","X1982",1,1982
"286","Buccinum angulosum","X1982",3,1982
"287","Buccinum oedematum","X1982",3,1982
"288","Buccinum plectrum","X1982",3,1982
"289","Buccinum scalariforme","X1982",3,1982
"290","Buccinum polare","X1982",3,1982
"291","Buccinum solenum","X1982",3,1982
"292","Buccinum ciliatum","X1982",3,1982
"293","Buccinum glaciale","X1982",3,1982
"294","Buccinum tenellum","X1982",3,1982
"295","Buccinum tricarinatum","X1982",3,1982
"296","Arctomelon sp.","X1982",3,1982
"297","Arctomelon stearnsii","X1982",3,1982
"298","Arctomelon tamikoae","X1982",3,1982
"299","Volutomitra alaskana","X1982",3,1982
"300","Velutina undata","X1982",3,1982
"301","Velutina plicatilis","X1982",3,1982
"302","Velutina conica","X1982",3,1982
"303","Velutina prolongata","X1982",3,1982
"304","Velutina velutina","X1982",3,1982
"305","Velutina sp.","X1982",3,1982
"306","Admete laevior","X1982",3,1982
"307","Admete regina","X1982",3,1982
"308","Cylichna alba","X1982",3,1982
"309","Bivalvia unident.","X1982",1,1982
"310","Mytilidae","X1982",1,1982
"311","Modiolus modiolus","X1982",3,1982
"312","Mytilus sp.","X1982",3,1982
"313","Mytilus edulis","X1982",3,1982
"314","Pectinid unident.","X1982",1,1982
"315","Chlamys sp.","X1982",1,1982
"316","Chlamys behringiana","X1982",3,1982
"317","Chlamys rubida","X1982",3,1982
"318","Chlamys pseudoislandica","X1982",3,1982
"319","Patinopecten caurinus","X1982",1,1982
"320","Parvamussium alaskense","X1982",3,1982
"321","Cyclopecten sp.","X1982",3,1982
"322","Hiatella sp.","X1982",3,1982
"323","Hiatella arctica","X1982",3,1982
"324","Panomya arctica","X1982",3,1982
"325","Panomya norvegica","X1982",3,1982
"326","Nucula tenuis","X1982",3,1982
"327","Yoldia sp.","X1982",3,1982
"328","Yoldia seminuda","X1982",3,1982
"329","Yoldia myalis","X1982",3,1982
"330","Yoldia thraciaeformis","X1982",3,1982
"331","Yoldia hyperborea","X1982",3,1982
"332","Portlandia sp.","X1982",3,1982
"333","Nuculana sp.","X1982",3,1982
"334","Nuculana pernula","X1982",3,1982
"335","Nuculana fossa","X1982",3,1982
"336","Nuculana buccata","X1982",3,1982
"337","Musculus sp.","X1982",3,1982
"338","Musculus niger","X1982",3,1982
"339","Musculus discors","X1982",1,1982
"340","Musculus olivaceus","X1982",3,1982
"341","Crenella seminuda","X1982",3,1982
"342","Astarte crenata","X1982",3,1982
"343","Astarte sp.","X1982",3,1982
"344","Astarte borealis","X1982",3,1982
"345","Astarte polaris","X1982",3,1982
"346","Tridonta rollandi","X1982",3,1982
"347","Cardita sp.","X1982",3,1982
"348","Carditidae","X1982",3,1982
"349","Cyclocardia crassidens","X1982",3,1982
"350","Cyclocardia crebricostata","X1982",3,1982
"351","Cyclocardia sp.","X1982",3,1982
"352","Kellia laperousii","X1982",3,1982
"353","cockle unident.","X1982",3,1982
"354","Clinocardium sp.","X1982",3,1982
"355","Clinocardium nuttallii","X1982",3,1982
"356","Clinocardium ciliatum","X1982",3,1982
"357","Clinocardium californiense","X1982",3,1982
"358","Clinocardium blandum","X1982",3,1982
"359","Saxidomus nuttalli","X1982",3,1982
"360","Saxidomus giganteus","X1982",3,1982
"361","Protothaca staminea","X1982",3,1982
"362","Liocyma fluctosa","X1982",3,1982
"363","Mactromeris sp.","X1982",2,1982
"364","Mactromeris polynyma","X1982",2,1982
"365","Tellina sp.","X1982",2,1982
"366","Tellina nuculoides","X1982",2,1982
"367","Tellina lutea","X1982",2,1982
"368","Macoma sp.","X1982",2,1982
"369","Macoma nasuta","X1982",3,1982
"370","Macoma calcarea","X1982",3,1982
"371","Macoma brota","X1982",3,1982
"372","Siliqua sp.","X1982",1,1982
"373","Siliqua patula","X1982",3,1982
"374","Siliqua alta","X1982",1,1982
"375","Serripes sp.","X1982",1,1982
"376","Serripes groenlandicus","X1982",3,1982
"377","Serripes laperousii","X1982",3,1982
"378","Serripes notabilis","X1982",2,1982
"379","Mya sp.","X1982",3,1982
"380","Mya arenaria","X1982",3,1982
"381","Mya truncata","X1982",3,1982
"382","Mya pseudoarenaria","X1982",3,1982
"383","Mya elegans","X1982",3,1982
"384","Pododesmus macroschisma","X1982",1,1982
"385","Pododesmus sp.","X1982",1,1982
"386","Anomiidae","X1982",1,1982
"387","Dentalium sp.","X1982",3,1982
"388","Rhabdus dalli","X1982",3,1982
"389","Cephalopoda unident.","X1982",1,1982
"390","cuttlefish unident.","X1982",3,1982
"391","Octopodidae","X1982",1,1982
"392","pelagic octopus unident.","X1982",3,1982
"393","Benthoctopus leioderma","X1982",3,1982
"394","Octopus sp.","X1982",3,1982
"395","Octopus dofleini","X1982",3,1982
"396","Benthoctopus sp.","X1982",3,1982
"397","Teuthoidea","X1982",1,1982
"398","Rossia pacifica","X1982",1,1982
"399","Loligo opalescens","X1982",3,1982
"400","Gonatus sp.","X1982",3,1982
"401","Berryteuthis magister","X1982",1,1982
"402","Asteroidea unident.","X1982",1,1982
"403","Evasterias sp.","X1982",1,1982
"404","Evasterias troschelii","X1982",2,1982
"405","Evasterias echinosoma","X1982",2,1982
"406","Orthasterias koehleri","X1982",3,1982
"407","Leptasterias groenlandica","X1982",2,1982
"408","Leptasterias hexactis","X1982",3,1982
"409","Leptasterias hylodes","X1982",3,1982
"410","Leptasterias coei","X1982",3,1982
"411","Pycnopodia helianthoides","X1982",1,1982
"412","Lethasterias nanimensis","X1982",1,1982
"413","Pedicellaster magister","X1982",3,1982
"414","Henricia sp.","X1982",1,1982
"415","Henricia sanguinolenta","X1982",3,1982
"416","Henricia leviuscula","X1982",3,1982
"417","Henricia tumida","X1982",3,1982
"418","Odontohenricia
sp.","X1982",3,1982
"419","Leptasterias polaris","X1982",1,1982
"420","Leptasterias arctica","X1982",1,1982
"421","Leptasterias sp.","X1982",1,1982
"422","Henricia beringiana","X1982",3,1982
"423","Gephyreaster swifti","X1982",1,1982
"424","Pseudarchaster
sp.","X1982",1,1982
"425","Pseudarchaster alascensis","X1982",3,1982
"426","Pseudarchaster parelii","X1982",3,1982
"427","Hippasteria spinosa","X1982",3,1982
"428","Ceramaster sp.","X1982",1,1982
"429","Ceramaster japonicus","X1982",3,1982
"430","Ceramaster patagonicus","X1982",3,1982
"431","Dermasterias imbricata","X1982",3,1982
"432","Solaster sp.","X1982",1,1982
"433","Solaster endeca","X1982",3,1982
"434","Solaster dawsoni","X1982",3,1982
"435","Solaster paxillatus","X1982",3,1982
"436","Crossaster sp.","X1982",1,1982
"437","Crossaster borealis","X1982",1,1982
"438","Crossaster papposus","X1982",1,1982
"439","Pteraster sp.","X1982",1,1982
"440","Pteraster tesselatus","X1982",3,1982
"441","Pteraster militaris","X1982",3,1982
"442","Pteraster obscurus","X1982",1,1982
"443","Diplopteraster multipes","X1982",1,1982
"444","Diplopteraster sp.","X1982",1,1982
"445","Asterias sp.","X1982",1,1982
"446","Asterias amurensis","X1982",1,1982
"447","Ctenodiscus sp.","X1982",3,1982
"448","Ctenodiscus crispatus","X1982",3,1982
"449","Leptychaster sp.","X1982",3,1982
"450","Leptychaster anomalus","X1982",3,1982
"451","Leptychaster pacificus","X1982",3,1982
"452","Leptychaster arcticus","X1982",3,1982
"453","Dipsacaster sp.","X1982",1,1982
"454","Dipsacaster borealis","X1982",1,1982
"455","Cheiraster (=Luidiaster) dawsoni","X1982",1,1982
"456","Echinacea unident.","X1982",1,1982
"457","Strongylocentrotus droebachiensis","X1982",3,1982
"458","Strongylocentrotus
sp.","X1982",2,1982
"459","Strongylocentrotus franciscanus","X1982",3,1982
"460","Strongylocentrotus polyacanthus","X1982",3,1982
"461","Strongylocentrotus pallidus","X1982",3,1982
"462","Allocentrotus fragilis","X1982",2,1982
"463","Allocentrotus sp.","X1982",2,1982
"464","sand dollar unident.","X1982",1,1982
"465","Echinarachnius parma","X1982",1,1982
"466","Ophiuroid unident.","X1982",1,1982
"467","Gorgonocephalus eucnemis","X1982",1,1982
"468","Asteronyx loveni","X1982",1,1982
"469","Ophiura sp.","X1982",3,1982
"470","Ophiura sarsi","X1982",3,1982
"471","Amphiophiura nodosa","X1982",3,1982
"472","Ophiacantha sp.","X1982",3,1982
"473","Ophiopholis sp.","X1982",3,1982
"474","Ophiopholis aculeata","X1982",3,1982
"475","Ophiolebes sp.","X1982",3,1982
"476","Holothuroidea unident.","X1982",1,1982
"477","Molpadia sp.","X1982",1,1982
"478","Molpadia intermedia","X1982",2,1982
"479","Pentamera lissoplaca","X1982",3,1982
"480","Pentamera sp.","X1982",3,1982
"481","Bathyplotes sp.","X1982",3,1982
"482","Cucumaria sp.","X1982",1,1982
"483","Cucumaria fallax","X1982",1,1982
"484","Cucumaria frondosa","X1982",3,1982
"485","Psolus sp.","X1982",1,1982
"486","Psolus fabricii","X1982",3,1982
"487","Psolus squamatus","X1982",3,1982
"488","Synallactes challengeri","X1982",3,1982
"489","Foraminifera","X1982",3,1982
"490","Porifera","X1982",1,1982
"491","vase sponge unident.","X1982",3,1982
"492","Suberites sp.","X1982",1,1982
"493","Suberites ficus","X1982",3,1982
"494","Aphrocallistes vastus","X1982",3,1982
"495","Mycale loveni","X1982",1,1982
"496","Halichondria panicea","X1982",3,1982
"497","Phakellia cribrosa","X1982",3,1982
"498","scapula sponge","X1982",3,1982
"499","Myxilla incrustans","X1982",3,1982
"500","Leucosolenia blanca","X1982",3,1982
"501","Tethya sp.","X1982",3,1982
"502","stone sponge","X1982",3,1982
"503","Polymastia fluegeli","X1982",3,1982
"504","Latrunculia sp. A (Clark 2006)","X1982",3,1982
"505","Hexactinellida","X1982",3,1982
"506","Platyhelminthes","X1982",3,1982
"507","Polycladida","X1982",3,1982
"508","Nemertea","X1982",3,1982
"509","Priapula","X1982",3,1982
"510","Nematoda","X1982",3,1982
"511","Sipuncula","X1982",2,1982
"512","Echiura","X1982",3,1982
"513","Phoronida","X1982",3,1982
"514","Bryozoa unident.","X1982",2,1982
"515","Leieschara orientalis","X1982",3,1982
"516","bryozoan sp. A unident.","X1982",3,1982
"517","Bugula californica","X1982",3,1982
"518","Eucratea loricata","X1982",3,1982
"519","Flustra serrulata","X1982",3,1982
"520","Flustrellidra corniculata","X1982",3,1982
"521","Alcyonidium pedunculatum","X1982",3,1982
"522","Porella compressa","X1982",3,1982
"523","Escharopsis sarsi","X1982",3,1982
"524","Rhamphostomella costata","X1982",2,1982
"525","Cellepora ventricosa","X1982",3,1982
"526","Dendrobeania sp.","X1982",3,1982
"527","brachiopod unident.","X1982",1,1982
"528","Hemithyridae","X1982",3,1982
"529","Laqueus californianus","X1982",3,1982
"530","Ascidian unident.","X1982",1,1982
"531","Ascidian n. sp. A","X1982",3,1982
"532","Ascidian n. sp. B","X1982",3,1982
"533","Thaliacea unident.","X1982",2,1982
"534","Styela sp.","X1982",1,1982
"535","Styela rustica","X1982",1,1982
"536","Boltenia sp.","X1982",1,1982
"537","Boltenia ovifera","X1982",1,1982
"538","Halocynthia sp.","X1982",1,1982
"539","Halocynthia aurantium","X1982",1,1982
"540","Aplidium californicum","X1982",3,1982
"541","compound ascidian unident.","X1982",1,1982
"542","Amaroucium soldatovi","X1982",3,1982
"543","Chelyosoma orientale","X1982",3,1982
"544","Aplidium sp.","X1982",1,1982
"545","Aplidium n. sp. a","X1982",3,1982
"546","Synoicum sp.","X1982",3,1982
"547","Molgula sp.","X1982",3,1982
"548","Molgula grifithsii","X1982",3,1982
"549","Molgula retortiformis","X1982",3,1982
"550","invertebrate unident.","X1982",1,1982
"551","invert. eggs unident.","X1982",1,1982
"552","empty bivalve shells","X1982",1,1982
"553","empty gastropod shells","X1982",1,1982
"554","unsorted debris","X1982",1,1982
"555","Polychaete tubes","X1982",1,1982
"556","unsorted shab","X1982",1,1982
"557","Hydrozoa","X1983",1,1983
"558","hydroid unident.","X1983",2,1983
"559","Hydroid sp. A","X1983",3,1983
"560","Hydractinia sp.","X1983",3,1983
"561","Sertularia robusta","X1983",3,1983
"562","Scyphozoa","X1983",1,1983
"563","Chrysaora sp.","X1983",1,1983
"564","Chrysaora melanaster","X1983",1,1983
"565","Phacellophora camtschatica","X1983",1,1983
"566","Aequorea sp.","X1983",3,1983
"567","Phacellophora sp.","X1983",1,1983
"568","Aurelia sp.","X1983",1,1983
"569","Aurelia labiata","X1983",3,1983
"570","Cyanea sp.","X1983",1,1983
"571","Cyanea capillata","X1983",1,1983
"572","Anthozoa","X1983",2,1983
"573","Alcyonacea","X1983",2,1983
"574","Gersemia sp.","X1983",1,1983
"575","Gersemia rubiformis","X1983",3,1983
"576","Gorgonacea","X1983",2,1983
"577","Paragorgia sp.","X1983",1,1983
"578","Paragorgia arborea","X1983",2,1983
"579","Pennatulacea","X1983",1,1983
"580","Virgularia sp.","X1983",3,1983
"581","Virgularidae","X1983",1,1983
"582","Stylatula sp.","X1983",3,1983
"583","Halipteris sp.","X1983",3,1983
"584","Halipteris finmarchia","X1983",3,1983
"585","Halipteris willemoesi","X1983",3,1983
"586","Actiniaria","X1983",1,1983
"587","Actinauge verrillii","X1983",3,1983
"588","Metridium sp.","X1983",1,1983
"589","Metridium senile","X1983",3,1983
"590","Metridium farcimen (=Metridium giganteum)","X1983",3,1983
"591","Stomphia didemon","X1983",3,1983
"592","Stomphia sp.","X1983",3,1983
"593","Stomphia coccinea","X1983",3,1983
"594","Urticina sp.","X1983",3,1983
"595","Urticina crassicornis","X1983",3,1983
"596","Urticina lofotensis","X1983",3,1983
"597","Urticina columbiana","X1983",3,1983
"598","Bathyphelia australis","X1983",3,1983
"599","Cribrinopsis fernaldi","X1983",3,1983
"600","Liponema brevicornis","X1983",1,1983
"601","Actinostolidae","X1983",1,1983
"602","Scleractinia unident.","X1983",3,1983
"603","Amphilaphis sp.","X1983",2,1983
"604","Ctenophora","X1983",1,1983
"605","Beroe sp.","X1983",3,1983
"606","Polychaeta","X1983",1,1983
"607","worm unident.","X1983",1,1983
"608","Eunice valens","X1983",3,1983
"609","tube worm unident.","X1983",1,1983
"610","Aphroditidae","X1983",1,1983
"611","Aphrodita sp.","X1983",1,1983
"612","Aphrodita negligens","X1983",3,1983
"613","Nephtyidae unident.","X1983",3,1983
"614","Nereidae","X1983",3,1983
"615","Nereis sp.","X1983",3,1983
"616","Cheilonereis cyclurus","X1983",3,1983
"617","Polynoidae","X1983",1,1983
"618","Eunoe sp.","X1983",1,1983
"619","Eunoe nodosa","X1983",2,1983
"620","Eunoe depressa","X1983",2,1983
"621","Sabellidae","X1983",3,1983
"622","Serpula vermicularis","X1983",3,1983
"623","Serpula columbiana","X1983",3,1983
"624","Serpula sp.","X1983",3,1983
"625","Hirudinea unident.","X1983",1,1983
"626","Carcinobdella
sp.","X1983",3,1983
"627","Notostombdella (=Carcinobdella) cyclostoma","X1983",3,1983
"628","Amphipoda","X1983",1,1983
"629","Gammaridae","X1983",1,1983
"630","Caprella sp.","X1983",1,1983
"631","Isopoda","X1983",1,1983
"632","Saduria entomon","X1983",3,1983
"633","Mysidacea","X1983",2,1983
"634","Cirripedia","X1983",1,1983
"635","Thoracica","X1983",1,1983
"636","Balanus sp.","X1983",1,1983
"637","Balanus balanus","X1983",3,1983
"638","Balanus evermanni","X1983",3,1983
"639","Balanus hesperius","X1983",3,1983
"640","Balanus rostratus","X1983",3,1983
"641","shrimp unident.","X1983",1,1983
"642","Pandalidae","X1983",1,1983
"643","Pandalus sp.","X1983",2,1983
"644","Pandalus jordani","X1983",3,1983
